# Input data: Maddison_CRU_dataset.csv
iteration,approach,approach_name,C_Delta_u,C_epsilon,C_j,C_k,C_v,Sigma_Delta_u_Delta_u,Sigma_Delta_u_epsilon,Sigma_Delta_u_j,Sigma_Delta_u_k,Sigma_Delta_u_v,Sigma_epsilon_epsilon,Sigma_h_epsilon,Sigma_h_h,Sigma_h_j,Sigma_h_k,Sigma_j_epsilon,Sigma_j_j,Sigma_j_k,Sigma_k_epsilon,Sigma_k_k,Sigma_v_epsilon,Sigma_v_j,Sigma_v_k,Sigma_v_v,cov_epsilon_Delta_u,cov_epsilon_j,cov_epsilon_k,cov_epsilon_v,s_Delta_u,s_epsilon,s_j,s_k,s_v,sum_check,var_dy
-1,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0032007026161298613,0.0004182676627583306,0.0002897018783764383,2.5293944999708958e-05,0.0,0.0,0.0,0.0,0.0,0.0032007026161299276,-1.1406431394969445e-17,0.0003425868545118585,-0.0003077121715559472,-9.580737956190917e-06,4.8782902320862066e-17,0.0008911316422687697,-0.00016515180795454075,-1.0357748085360436e-16,0.0004644344242872736,-1.1406431394969445e-17,-0.0003077121715559472,-9.580737956190917e-06,0.0003425868545118585,0.0,4.8782902320862066e-17,-1.0357748085360436e-16,-1.1406431394969445e-17,0.0,0.8136070654720635,0.106322131885575,0.07364117301612988,0.0064296296262314236,0.003933966102264339,0.00393396610226434
0,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Approach QJ,Approach QJ: Quadratic (Joint OLS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,Approach NJ,Approach NJ: No Climate Response (Joint),0.0,0.0032035570400591345,0.00044343969451195463,0.0002869693676932503,0.0,0.0,0.0,0.0,0.0,0.0,0.003203557040059143,0.0,0.0,0.0,0.0,-1.7199143734917976e-17,0.0006266572193046024,-0.0001832175247926306,8.445085548688242e-18,0.0004701868924858724,0.0,0.0,0.0,0.0,0.0,-1.7199143734917976e-17,8.445085548688242e-18,0.0,0.0,0.8143326497437812,0.11272077160418756,0.0729465786520312,0.0,0.00393396610226434,0.00393396610226434
