percentile,iso3,h_T_delta_cum_2022,target_percentile_value
min,SDN,-0.47782931932003536,-0.47782931932003536
5,TTO,-0.304176489841169,-0.30459139523699974
25,GTM,-0.19646428669451493,-0.1965165209701767
50,MMR,-0.13062364473999502,-0.12227903216390515
75,ESP,0.022418234454498323,0.024891299986801882
95,AUT,0.24872621498269562,0.2500307009550469
max,RUS,0.6374956569923486,0.6374956569923486
