# Input data: Maddison_CRU_dataset.csv
iteration,approach,approach_name,h1,h2,T_opt,r_squared,total_r_squared,f1,h4,h3
-1,approach0,0: Conjoined OLS Fit,0.00807102877765846,-0.00027720242122732303,14.558005557678227,0.1863929345279196,0.1863929345279196,,,
0,approach0,0: Conjoined OLS Fit,0.008822979576219676,-0.00027840854883869103,15.845381927068052,0.18629417384452418,0.18629417384452418,,,
1,approach0,0: Conjoined OLS Fit,0.00673983275290656,-0.0002616773279574017,12.878136607241215,0.25667644856480454,0.25667644856480454,,,
2,approach0,0: Conjoined OLS Fit,0.002736797620612801,-0.00010500193035626636,13.032130034785942,0.2041134754327305,0.2041134754327305,,,
3,approach0,0: Conjoined OLS Fit,0.007218512907658528,-0.00031515071804096435,11.452477329783905,0.2075240830888584,0.2075240830888584,,,
4,approach0,0: Conjoined OLS Fit,0.00849715662618671,-0.00022894048061218564,18.557567022366158,0.1896133700708692,0.1896133700708692,,,
5,approach0,0: Conjoined OLS Fit,0.007997928334541559,-0.0002516144338653483,15.893222442917677,0.19767511131684912,0.19767511131684912,,,
6,approach0,0: Conjoined OLS Fit,0.008751682258236004,-0.00020385489793638047,21.46546967188213,0.17422497057925657,0.17422497057925657,,,
7,approach0,0: Conjoined OLS Fit,0.011012255219167663,-0.00047797028724229915,11.519811495714567,0.18182560505346645,0.18182560505346645,,,
8,approach0,0: Conjoined OLS Fit,0.00687335164085902,-0.00018688290964316687,18.38946015444365,0.1854934448800486,0.1854934448800486,,,
9,approach0,0: Conjoined OLS Fit,0.008824127820887291,-0.00030049960784997063,14.682428180227248,0.20363647176031574,0.20363647176031574,,,
10,approach0,0: Conjoined OLS Fit,0.010884577296924993,-0.0004200865282672871,12.955161097191265,0.19803479808789337,0.19803479808789337,,,
11,approach0,0: Conjoined OLS Fit,0.009284620654758389,-0.000380321232759124,12.206287547241402,0.18927705558303698,0.18927705558303698,,,
12,approach0,0: Conjoined OLS Fit,0.005856928590356904,-0.0002508770951222695,11.672904191397832,0.21221450939785236,0.21221450939785236,,,
13,approach0,0: Conjoined OLS Fit,0.007442170088655423,-0.00018012520550361093,20.658325046314054,0.19515592446592467,0.19515592446592467,,,
14,approach0,0: Conjoined OLS Fit,0.011649656017986095,-0.0004296037178331632,13.558607077174136,0.17089771009125299,0.17089771009125299,,,
15,approach0,0: Conjoined OLS Fit,0.0045831656096287495,-2.82818773375136e-05,81.02654493076304,0.22388582015724423,0.22388582015724423,,,
16,approach0,0: Conjoined OLS Fit,0.00884572773756423,-0.00029395470021773896,15.046072968066163,0.19338747756569918,0.19338747756569918,,,
17,approach0,0: Conjoined OLS Fit,0.017315137969042386,-0.0005627019818923823,15.385709066468097,0.16246808056570683,0.16246808056570683,,,
18,approach0,0: Conjoined OLS Fit,0.009794927409184605,-0.0002594393329264741,18.877105677650885,0.18683719734356474,0.18683719734356474,,,
19,approach0,0: Conjoined OLS Fit,0.007942640597820117,-0.000288477595218854,13.766477413600214,0.1956592234887794,0.1956592234887794,,,
20,approach0,0: Conjoined OLS Fit,0.005811749571667173,-0.00025289724816450823,11.490337704043863,0.20010833993977595,0.20010833993977595,,,
21,approach0,0: Conjoined OLS Fit,0.012753140083302405,-0.0005004828631287162,12.740835923509433,0.19374004483383178,0.19374004483383178,,,
22,approach0,0: Conjoined OLS Fit,0.00506031392908968,-0.00023321633864715246,10.848969584300319,0.19285479729718735,0.19285479729718735,,,
23,approach0,0: Conjoined OLS Fit,0.011416937475149927,-0.00026218258704759084,21.77287516252471,0.16381069681719007,0.16381069681719007,,,
24,approach0,0: Conjoined OLS Fit,0.008002054939727757,-0.00031441045078180006,12.725491343926668,0.20138693608118374,0.20138693608118374,,,
25,approach0,0: Conjoined OLS Fit,0.00909394742225466,-0.0003028956899567571,15.011681783179148,0.1744445692581379,0.1744445692581379,,,
26,approach0,0: Conjoined OLS Fit,0.016153683115587146,-0.0004811482749440024,16.786595688685743,0.174970004609448,0.174970004609448,,,
27,approach0,0: Conjoined OLS Fit,0.007135156971231279,-0.00022573653337762552,15.804169720492613,0.1727288664846085,0.1727288664846085,,,
28,approach0,0: Conjoined OLS Fit,0.012419342431492454,-0.00030666263748704446,20.249193924083976,0.16007836444510704,0.16007836444510704,,,
29,approach0,0: Conjoined OLS Fit,0.010316228825857256,-0.000363747790481174,14.180469401904421,0.2289469269040475,0.2289469269040475,,,
-1,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.1856673502562166,0.1856673502562166,,,
0,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.18542072504708595,0.18542072504708595,,,
1,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.25556544323373664,0.25556544323373664,,,
2,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.20402227606710788,0.20402227606710788,,,
3,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.20655046324083803,0.20655046324083803,,,
4,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.18913652779297874,0.18913652779297874,,,
5,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.1970327150505069,0.1970327150505069,,,
6,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.17377736621843343,0.17377736621843343,,,
7,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.17955325550146406,0.17955325550146406,,,
8,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.18511166860322625,0.18511166860322625,,,
9,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.20264525485376084,0.20264525485376084,,,
10,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.19638492943275487,0.19638492943275487,,,
11,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.18785767292926825,0.18785767292926825,,,
12,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.21140588820216366,0.21140588820216366,,,
13,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.19480912496139913,0.19480912496139913,,,
14,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.1690373173016564,0.1690373173016564,,,
15,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.22334718190416847,0.22334718190416847,,,
16,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.1925027221697866,0.1925027221697866,,,
17,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.16080741185544045,0.16080741185544045,,,
18,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.1862688515328189,0.1862688515328189,,,
19,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.19489418472710718,0.19489418472710718,,,
20,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.1995038207833455,0.1995038207833455,,,
21,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.19141750879868702,0.19141750879868702,,,
22,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.1921708745688735,0.1921708745688735,,,
23,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.16313236040378054,0.16313236040378054,,,
24,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.20023142024021223,0.20023142024021223,,,
25,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.17340029055140704,0.17340029055140704,,,
26,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.17345256597960923,0.17345256597960923,,,
27,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.17225616276134104,0.17225616276134104,,,
28,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.1594885924741819,0.1594885924741819,,,
29,approach0h0,approach0h0: No Climate Response (Joint),0.0,0.0,,0.2278068684035489,0.2278068684035489,,,
-1,approach1,1: Precomputed k Combined,0.006627829238296417,-0.00021482203994184818,15.426325064436021,0.0006939727110314431,0.18623247489284067,,,
0,approach1,1: Precomputed k Combined,0.007184413123975741,-0.00021580749264804024,16.645420962498225,0.0008486606446848066,0.18611202641971425,,,
1,approach1,1: Precomputed k Combined,0.005409958186716908,-0.0001976182652316977,13.687900205919725,0.0011272266945701048,0.2564045897384841,,,
2,approach1,1: Precomputed k Combined,0.0022685798248135683,-8.001634866143683e-05,14.175726978072484,8.45778414347853e-05,0.2040895981448284,,,
3,approach1,1: Precomputed k Combined,0.00574981551633355,-0.0002288433212424886,12.56277763562278,0.0008547195176558109,0.20722864004618125,,,
4,approach1,1: Precomputed k Combined,0.007144424812101531,-0.0001829100688211756,19.529883888148255,0.000488343117809209,0.18953250738911387,,,
5,approach1,1: Precomputed k Combined,0.006648062627228319,-0.00019932597794102304,16.67635773294779,0.0006431537177662427,0.19754914644506683,,,
6,approach1,1: Precomputed k Combined,0.007288421292719067,-0.00016628835360337716,21.91500828164747,0.00045464340995315933,0.17415300289403646,,,
7,approach1,1: Precomputed k Combined,0.00880639397311395,-0.00035507274924038545,12.400830522693804,0.0020153894244069326,0.1812067751936155,,,
