# Input data: Maddison_CRU_dataset.csv
iteration,approach,approach_name,C_Delta_u,C_epsilon,C_j,C_k,C_v,Sigma_Delta_u_Delta_u,Sigma_Delta_u_epsilon,Sigma_Delta_u_j,Sigma_Delta_u_k,Sigma_Delta_u_v,Sigma_epsilon_epsilon,Sigma_h_epsilon,Sigma_h_h,Sigma_h_j,Sigma_h_k,Sigma_j_epsilon,Sigma_j_j,Sigma_j_k,Sigma_k_epsilon,Sigma_k_k,Sigma_v_epsilon,Sigma_v_j,Sigma_v_k,Sigma_v_v,cov_epsilon_Delta_u,cov_epsilon_j,cov_epsilon_k,cov_epsilon_v,s_Delta_u,s_epsilon,s_j,s_k,s_v,sum_check,var_dy
-1,approach0,0: Conjoined OLS Fit,0.0,0.0032007026161298613,0.0004182676627583306,0.0002897018783764383,2.5293944999708958e-05,0.0,0.0,0.0,0.0,0.0,0.0032007026161299276,-1.1406431394969445e-17,0.0003425868545118585,-0.0003077121715559472,-9.580737956190917e-06,4.8782902320862066e-17,0.0008911316422687697,-0.00016515180795454075,-1.0357748085360436e-16,0.0004644344242872736,-1.1406431394969445e-17,-0.0003077121715559472,-9.580737956190917e-06,0.0003425868545118585,0.0,4.8782902320862066e-17,-1.0357748085360436e-16,-1.1406431394969445e-17,0.0,0.8136070654720635,0.106322131885575,0.07364117301612988,0.0064296296262314236,0.003933966102264339,0.00393396610226434
0,approach0,0: Conjoined OLS Fit,0.0,0.003259472181809059,0.0003486895812044367,0.000404328410886978,-6.776957849082323e-06,0.0,0.0,0.0,0.0,0.0,0.0032594721818090047,-8.638713064782728e-17,0.0004727547352552781,-0.00047683701579060664,-2.694677313667374e-06,5.707160294789687e-17,0.0010318378677236406,-0.00020631127072865443,8.359928213076064e-17,0.0006133343589292162,-8.638713064782728e-17,-0.00047683701579060664,-2.694677313667374e-06,0.0004727547352552781,0.0,5.707160294789687e-17,8.359928213076064e-17,-8.638713064782728e-17,0.0,0.8137058261554891,0.08704806420169925,0.10093793266746699,-0.001691823024655437,0.004005713216051391,0.004005713216051391
1,approach0,0: Conjoined OLS Fit,0.0,0.0020307825129681116,0.0003392594249884306,0.0003167680664576205,4.52203598156455e-05,0.0,0.0,0.0,0.0,0.0,0.0020307825129680917,-1.9143912645601194e-17,0.00043945652174228584,-0.00039184748852544494,-2.388673401176257e-06,3.194346888736388e-17,0.0007302772382799545,8.296752338891458e-07,7.28583859910259e-18,0.00031832706462490035,-1.9143912645601194e-17,-0.00039184748852544494,-2.388673401176257e-06,0.00043945652174228584,0.0,3.194346888736388e-17,7.28583859910259e-18,-1.9143912645601194e-17,0.0,0.7433235514352027,0.1241784972196207,0.11594602702994522,0.016551924315231264,0.002732030364229808,0.0027320303642298085
2,approach0,0: Conjoined OLS Fit,0.0,0.003102924303799325,0.00046888771941972727,0.00031551865374541976,1.1371220880067775e-05,0.0,0.0,0.0,0.0,0.0,0.003102924303799309,-5.101083785885227e-18,5.808426820437036e-05,-4.5924108903329317e-05,-7.889384209681702e-07,-1.4394157828673336e-17,0.0005593915323604032,-4.457970403733219e-05,3.541394008560947e-17,0.00036088729620368474,-5.101083785885227e-18,-4.5924108903329317e-05,-7.889384209681702e-07,5.808426820437036e-05,0.0,-1.4394157828673336e-17,3.541394008560947e-17,-5.101083785885227e-18,0.0,0.7958865245672737,0.12026765105558837,0.08092915591208943,0.0029166684650484657,0.00389870189784454,0.00389870189784454
3,approach0,0: Conjoined OLS Fit,0.0,0.002863595849028711,0.0003459418158052042,0.00031013016260752335,9.381213822141512e-05,0.0,0.0,0.0,0.0,0.0,0.00286359584902871,-1.2848598278395419e-17,0.0008499574519569683,-0.0007645361452229446,8.390831487404241e-06,1.4152035997896158e-17,0.001166861989595802,-5.63840285676673e-05,-2.841908735989654e-19,0.0003581233596877867,-1.2848598278395419e-17,-0.0007645361452229446,8.390831487404241e-06,0.0008499574519569683,0.0,1.4152035997896158e-17,-2.841908735989654e-19,-1.2848598278395419e-17,0.0,0.7924759169111415,0.09573646985524238,0.08582589790300199,0.025961715330613786,0.0036134799656628537,0.003613479965662855
4,approach0,0: Conjoined OLS Fit,0.0,0.004003288488290811,0.0004545602361570999,0.0005282663055222955,-4.614151554919695e-05,0.0,0.0,0.0,0.0,0.0,0.004003288488290805,-2.718334669943184e-17,0.00031078738628470494,-0.00035643713270076637,-4.917691331083393e-07,2.4541540714631332e-17,0.0023697821049198445,-0.0015587847360620027,8.860679727063102e-18,0.0020875428107173977,-2.718334669943184e-17,-0.00035643713270076637,-4.917691331083393e-07,0.00031078738628470494,0.0,2.4541540714631332e-17,8.860679727063102e-18,-2.718334669943184e-17,0.0,0.8103866299291319,0.09201673548048907,0.10693707243169524,-0.009340437841316034,0.0049399735144210095,0.004939973514421009
5,approach0,0: Conjoined OLS Fit,0.0,0.0030851785743223293,0.00040255659366416144,0.00036213438187971097,-4.571195248613313e-06,0.0,0.0,0.0,0.0,0.0,0.00308517857432206,-4.249659070383854e-17,0.00029953730809313304,-0.000295573803170391,-8.534700171312837e-06,2.586594113339444e-17,0.0009710640837927274,-0.0002729336869582008,2.8614663442107474e-16,0.0006436027690089385,-4.249659070383854e-17,-0.000295573803170391,-8.534700171312837e-06,0.00029953730809313304,0.0,2.586594113339444e-17,2.8614663442107474e-16,-4.249659070383854e-17,0.0,0.8023248886832212,0.10468799987412042,0.09417588662394573,-0.0011887751812870487,0.0038452983546175884,0.0038452983546175875
6,approach0,0: Conjoined OLS Fit,0.0,0.0037492358249724966,0.0004751052986381729,0.00034152283624178955,-2.5600944631235845e-05,0.0,0.0,0.0,0.0,0.0,0.003749235824972218,2.822715828147952e-17,0.00027224746136242346,-0.0003078153255886204,9.966919594932848e-06,-4.850435729267743e-17,0.001473768056989146,-0.000690847432762304,2.985614987445401e-16,0.0010224033494088622,2.822715828147952e-17,-0.0003078153255886204,9.966919594932848e-06,0.00027224746136242346,0.0,-4.850435729267743e-17,2.985614987445401e-16,2.822715828147952e-17,0.0,0.8257750294208047,0.10464268194273842,0.07522093656178837,-0.0056386479253313585,0.004540263015221223,0.004540263015221223
7,approach0,0: Conjoined OLS Fit,0.0,0.003209565755152608,0.00015276379854948008,0.00036400119597037044,0.0001965074312545529,0.0,0.0,0.0,0.0,0.0,0.003209565755153118,9.085714131896037e-17,0.002032567477044095,-0.001853815346048003,1.7755300258369927e-05,-9.163396967738454e-17,0.0023862059189275813,-0.0003796267743300067,-5.093013224736767e-16,0.0007258726700425165,9.085714131896037e-17,-0.001853815346048003,1.7755300258369927e-05,0.002032567477044095,0.0,-9.163396967738454e-17,-5.093013224736767e-16,9.085714131896037e-17,0.0,0.8181743949464038,0.03894216164516383,0.09279026541042609,0.050093177998006534,0.003922838180927012,0.003922838180927011
8,approach0,0: Conjoined OLS Fit,0.0,0.0036557637985770016,0.0005020653888829563,0.00035122927760379,-2.074124330882626e-05,0.0,0.0,0.0,0.0,0.0,0.003655763798577152,2.1292181807368898e-17,0.00023703561966989588,-0.00025555542663539783,-2.221436343345599e-06,-6.222940749490256e-17,0.0011752106953326308,-0.0004175898798142144,-1.0941388604147172e-16,0.0007710405937614593,2.1292181807368898e-17,-0.00025555542663539783,-2.221436343345599e-06,0.00023703561966989588,0.0,-6.222940749490256e-17,-1.0941388604147172e-16,2.1292181807368898e-17,0.0,0.8145065551199182,0.11186049561056875,0.0782541117863457,-0.0046211625168321975,0.004488317221754922,0.0044883172217549195
9,approach0,0: Conjoined OLS Fit,0.0,0.0033770811750366875,0.00045688403769534783,0.00037230614056042114,3.435626874525615e-05,0.0,0.0,0.0,0.0,0.0,0.003377081175036615,3.8403540140579176e-17,0.00037031233939751197,-0.00033504393568073513,-9.121349715590825e-07,-8.740008524897802e-17,0.0008086178451404984,-1.668987176432799e-05,1.2130193802822337e-16,0.0003899081472961869,3.8403540140579176e-17,-0.00033504393568073513,-9.121349715590825e-07,0.00037031233939751197,0.0,-8.740008524897802e-17,1.2130193802822337e-16,3.8403540140579176e-17,0.0,0.7963635282397014,0.1077397211962236,0.08779505623781228,0.008101694326262779,0.004240627622037712,0.004240627622037712
10,approach0,0: Conjoined OLS Fit,0.0,0.002854153963496203,0.0002125864603043084,0.0003927591245857139,9.945033708399421e-05,0.0,0.0,0.0,0.0,0.0,0.0028541539634961938,-3.6674187712231043e-17,0.0010394359515959778,-0.0009396940543143407,-2.9156019760621865e-07,6.070972577700768e-17,0.0016097482707340507,-0.00045746775611546226,-1.4884247188577036e-17,0.0008505184408987973,-3.6674187712231043e-17,-0.0009396940543143407,-2.9156019760621865e-07,0.0010394359515959778,0.0,6.070972577700768e-17,-1.4884247188577036e-17,-3.6674187712231043e-17,0.0,0.8019652019121093,0.05973291761488819,0.11035814979839799,0.027943730674604463,0.0035589498854702193,0.0035589498854702198
11,approach0,0: Conjoined OLS Fit,0.0,0.0032378806331981196,0.0003825828004758098,0.0003142748217636789,5.9080663214836426e-05,0.0,0.0,0.0,0.0,0.0,0.0032378806331980793,1.5317347234978837e-17,0.0011482343114546242,-0.0010952203670604474,6.066718820644346e-06,1.1099694612138494e-17,0.0015366057062021975,-5.880253866595148e-05,1.3759075164412357e-17,0.00036701064160897225,1.5317347234978837e-17,-0.0010952203670604474,6.066718820644346e-06,0.0011482343114546242,0.0,1.1099694612138494e-17,1.3759075164412357e-17,1.5317347234978837e-17,0.0,0.810722944416973,0.09579372732424667,0.07869030323230543,0.01479302502647538,0.003993818918652445,0.003993818918652443
12,approach0,0: Conjoined OLS Fit,0.0,0.0026560247246094383,0.00038581129654698197,0.00027450109933666245,5.517042349478612e-05,0.0,0.0,0.0,0.0,0.0,0.002656024724609325,1.5780887381545927e-17,0.00048626416894357737,-0.0004102661764048434,-2.0827569043963655e-05,1.2804452638670685e-17,0.0009724721415548172,-0.00017639466860300463,8.479919915262293e-17,0.00047172333698354595,1.5780887381545927e-17,-0.0004102661764048434,-2.0827569043963655e-05,0.00048626416894357737,0.0,1.2804452638670685e-17,8.479919915262293e-17,1.5780887381545927e-17,0.0,0.7877854906021812,0.1144328735775684,0.08141791046149595,0.016363725358754418,0.003371507543987869,0.0033715075439878692
13,approach0,0: Conjoined OLS Fit,0.0,0.003507143819984781,0.0004760826267709146,0.0004002533413290123,-2.5935356068329303e-05,0.0,0.0,0.0,0.0,0.0,0.003507143819984879,-1.0785288472926137e-17,0.00017321085687790522,-0.00019498602678276694,-4.160186163456798e-06,-9.13103827939697e-17,0.0007208990784171196,-4.983042486334677e-05,3.968279877764456e-18,0.0004542439523558119,-1.0785288472926137e-17,-0.00019498602678276694,-4.160186163456798e-06,0.00017321085687790522,0.0,-9.13103827939697e-17,3.968279877764456e-18,-1.0785288472926137e-17,0.0,0.8048440755340529,0.10925479572232742,0.09185295699757262,-0.005951828253952691,0.004357544432016379,0.004357544432016377
14,approach0,0: Conjoined OLS Fit,0.0,0.003124965696662511,0.0003267542643285366,0.0002979173086597064,1.9458214341394435e-05,0.0,0.0,0.0,0.0,0.0,0.0031249656966626065,-1.6626615039318372e-17,0.001167768975844639,-0.0011387943256047008,-9.516435898527192e-06,6.0352588582126274e-18,0.001569036049104463,-0.00010348745917123153,-8.464396338534586e-17,0.00041092120372954974,-1.6626615039318372e-17,-0.0011387943256047008,-9.516435898527192e-06,0.001167768975844639,0.0,6.0352588582126274e-18,-8.464396338534586e-17,-1.6626615039318372e-17,0.0,0.8291022899087215,0.08669301844867174,0.07904212295098412,0.005162568691622717,0.0037690954839921485,0.003769095483992148
15,approach0,0: Conjoined OLS Fit,0.0,0.0025465353582328695,0.0005085609845669051,0.00035170800022079154,-0.00012566939616414358,0.0,0.0,0.0,0.0,0.0,0.0025465353582328765,-8.828203625122291e-18,0.0009312454630075236,-0.0010387833413481769,-1.8131517823481512e-05,5.0112748732104484e-18,0.0016877292134382228,-0.00014038488752314579,-3.1684684318129377e-18,0.000510224405567422,-8.828203625122291e-18,-0.0010387833413481769,-1.8131517823481512e-05,0.0009312454630075236,0.0,5.0112748732104484e-18,-3.1684684318129377e-18,-8.828203625122291e-18,0.0,0.7761141798427535,0.15499544907598065,0.10719095859125044,-0.038300587509984746,0.0032811349468564225,0.003281134946856423
16,approach0,0: Conjoined OLS Fit,0.0,0.0030326652766234337,0.0003541344991340559,0.00034282762107160834,3.0127370517017822e-05,0.0,0.0,0.0,0.0,0.0,0.003032665276623438,-1.2074458566487688e-17,0.00035020579262866287,-0.00032337505660316496,3.2966344915319843e-06,1.3964848742632705e-18,0.0007455098516094033,-6.800029587218386e-05,6.368113921489053e-18,0.0004075312824522539,-1.2074458566487688e-17,-0.00032337505660316496,3.2966344915319843e-06,0.00035020579262866287,0.0,1.3964848742632705e-18,6.368113921489053e-18,-1.2074458566487688e-17,0.0,0.8066125224342996,0.09419085048039649,0.09118350591615815,0.008013121169145753,0.003759754767346116,0.0037597547673461156
17,approach0,0: Conjoined OLS Fit,0.0,0.0035227652830993775,0.00030608206981629966,0.0003276800727695456,4.959917242576785e-05,0.0,0.0,0.0,0.0,0.0,0.0035227652830995314,-2.3872033382313094e-17,0.0008663810476857401,-0.0008301889866807661,1.3407111420817758e-05,1.5687905803527697e-17,0.001344832350273591,-0.00020856129377654084,-1.4573116139337327e-16,0.0005228342551254144,-2.3872033382313094e-17,-0.0008301889866807661,1.3407111420817758e-05,0.0008663810476857401,0.0,1.5687905803527697e-17,-1.4573116139337327e-16,-2.3872033382313094e-17,0.0,0.8375319194342563,0.07277053190785171,0.07790542322637403,0.011792125431517747,0.0042061265981109906,0.004206126598110991
18,approach0,0: Conjoined OLS Fit,0.0,0.0033095503272509183,0.0003350983914683919,0.0004535226106592588,-2.8198728025796122e-05,0.0,0.0,0.0,0.0,0.0,0.0033095503272509235,-1.838771910271787e-19,0.00033684226188228806,-0.00036534997527755186,3.089853694678651e-07,-5.6157113389668974e-18,0.0010731598031820072,-0.0003727114364360577,4.620599857670942e-19,0.0008259250617258482,-1.838771910271787e-19,-0.00036534997527755186,3.089853694678651e-07,0.00033684226188228806,0.0,-5.6157113389668974e-18,4.620599857670942e-19,-1.838771910271787e-19,0.0,0.813162802656434,0.08233431138013368,0.11143136700933011,-0.006928481045897818,0.004069972601352773,0.004069972601352773
19,approach0,0: Conjoined OLS Fit,0.0,0.0031626198569997092,0.0003661583173320112,0.0003438385142054492,5.9323540474730855e-05,0.0,0.0,0.0,0.0,0.0,0.003162619856999138,-4.510818766842988e-17,0.0004010292743684102,-0.0003424819003174981,7.761664238638193e-07,8.769356928405543e-17,0.000765083319364473,-5.644310171505139e-05,5.284847060739444e-16,0.0003995054494961083,-4.510818766842988e-17,-0.0003424819003174981,7.761664238638193e-07,0.0004010292743684102,0.0,8.769356928405543e-17,5.284847060739444e-16,-4.510818766842988e-17,0.0,0.8043407765113657,0.09312408022642477,0.08744754349733747,0.015087599764872037,0.003931940229011901,0.003931940229011901
