Approach,h1,h1_SE,h2,h2_SE,T_optimal,R_squared,Adj_R_squared,RMSE,n_obs,n_params
Baseline (Burke-style with time trends),-0.0007601726506284975,0.000705816359875908,3.998287855741673e-05,3.282267223568246e-05,9.506227140910635,0.10436279813617622,0.059841987571880195,0.05955073366706982,9905,470
Temperature Detrending,-0.0009752178199221697,0.0009546677109169374,4.377047492040033e-05,3.5206865654207524e-05,11.14013295144354,0.04401744678194508,0.02851926871828281,0.06152420879476165,9905,159
GDP Growth Detrending,-0.001036286707899907,0.0008718212576547347,3.8765056544045825e-05,3.067489812613489e-05,13.366247856783753,0.00017265675792921265,-0.016036323360298477,0.05954226604836767,9905,159
Combined Detrending,-0.0011882225678104276,0.0009238989222410569,4.6975694234164246e-05,3.407215396670951e-05,12.647206041143114,0.00020532444899745705,-0.016003126067835938,0.05954129331829858,9905,159
