# k(t) scatter data
year,k_approach0,k_approach5c
1961,-0.14412502,-0.14384734
46,FIN,0.09887261,0.09649359,-0.00151728,-0.00151567,0.00002234,0.00002900
47,FRA,0.01260228,0.01245856,-0.00124894,-0.00125129,0.00003780,0.00003821
48,GAB,0.03745766,0.03880750,-0.00089983,-0.00089972,0.00003502,0.00003100
49,GBR,0.02866460,0.02889531,-0.00091300,-0.00091289,0.00001791,0.00001726
50,GEO,-0.00069509,-0.00032717,-0.00314115,-0.00321365,0.00024484,0.00024703
51,GHA,0.04732249,0.04809022,0.00063633,0.00063653,0.00003236,0.00003016
52,GIN,0.03369189,0.03418357,0.00002592,0.00002622,0.00004600,0.00004464
53,GMB,0.04488991,0.04569421,-0.00017646,-0.00017585,0.00005904,0.00005663
54,GNB,0.03124166,0.03208555,-0.00060186,-0.00060158,0.00008765,0.00008516
55,GNQ,0.10095075,0.10220824,-0.00122830,-0.00122819,-0.00008982,-0.00009354
56,GRC,0.00406562,0.00410655,-0.00150443,-0.00150916,0.00005043,0.00005026
57,GTM,0.01297389,0.01348049,-0.00050390,-0.00050409,0.00005658,0.00005522
58,HKG,0.04116188,0.04252174,-0.00145899,-0.00146179,0.00002502,0.00002087
59,HND,0.02606263,0.02629109,-0.00025830,-0.00025780,0.00003389,0.00003341
60,HRV,0.00396443,0.00347154,-0.00092035,-0.00092485,0.00008199,0.00008345
61,HTI,0.01874931,0.01920213,-0.00026811,-0.00026818,0.00001507,0.00001386
62,HUN,0.01825916,0.01734797,-0.00043684,-0.00044242,0.00004838,0.00005105
63,IDN,0.06570984,0.06606582,-0.00012190,-0.00012161,0.00000422,0.00000337
64,IND,0.05242135,0.05332419,0.00043580,0.00043548,0.00002056,0.00001798
65,IRL,0.04978249,0.05028964,-0.00080099,-0.00080017,-0.00000444,-0.00000595
66,IRN,0.00479806,0.00528074,-0.00071669,-0.00071833,0.00005477,0.00005324
67,IRQ,0.00031065,0.00185729,0.00041990,0.00041711,0.00008279,0.00007783
