# Input data: bootstrap_h_values.csv
# Point estimate cumulative effects for all countries
iteration,approach,iso3,year,temp,h_T,h_T_trend_1961,h_T_delta,h_T_delta_cum
-1,approach0,AFG,1961,12.3,0.0573357,0.0569526882734914,0.0003830117265086058,0.0003830117265086058
-1,approach0,AFG,1962,12.0,0.0569352,0.0569526882734914,-1.7488273491399198e-05,0.0003655234530172066
-1,approach0,AFG,1963,12.9,0.05798702,0.0569526882734914,0.0010343317265086027,0.0013998551795258093
-1,approach0,AFG,1964,11.3,0.05580665,0.0569526882734914,-0.0011460382734913982,0.00025381690603441115
-1,approach0,AFG,1965,12.2,0.05720774,0.0569526882734914,0.00025505172650860247,0.0005088686325430136
-1,approach0,AFG,1966,12.5,0.05757498,0.0569526882734914,0.0006222917265086003,0.001131160359051614
-1,approach0,AFG,1967,11.9,0.05679061,0.0569526882734914,-0.0001620782734913992,0.0009690820855602147
-1,approach0,AFG,1968,12.0,0.0569352,0.0569526882734914,-1.7488273491399198e-05,0.0009515938120688155
-1,approach0,AFG,1969,11.7,0.0564848,0.0569526882734914,-0.00046788827349139583,0.0004837055385774197
-1,approach0,AFG,1970,12.8,0.05789232,0.0569526882734914,0.0009396317265085996,0.0014233372650860193
-1,approach0,AFG,1971,12.7,0.05779209,0.0569526882734914,0.0008394017265085998,0.002262738991594619
-1,approach0,AFG,1972,10.8,0.05483422,0.0569526882734914,-0.0021184682734913945,0.00014427071810322462
-1,approach0,AFG,1973,12.3,0.0573357,0.0569526882734914,0.0003830117265086058,0.0005272824446118304
-1,approach0,AFG,1974,11.5,0.05615681,0.0569526882734914,-0.0007958782734913961,-0.0002685958288795656
-1,approach0,AFG,1975,11.8,0.05664047,0.0569526882734914,-0.0003122182734913992,-0.0005808141023709648
-1,approach0,AFG,1976,11.8,0.05664047,0.0569526882734914,-0.0003122182734913992,-0.000893032375862364
-1,approach0,AFG,1977,12.8,0.05789232,0.0569526882734914,0.0009396317265085996,4.6599350646235604e-05
-1,approach0,AFG,1978,12.4,0.05745811,0.0569526882734914,0.0005054217265086022,0.0005520210771548378
-1,approach0,AFG,1979,12.4,0.05745811,0.0569526882734914,0.0005054217265086022,0.00105744280366344
-1,approach0,AFG,1980,12.7,0.05779209,0.0569526882734914,0.0008394017265085998,0.00189684453017204
-1,approach0,AFG,1981,12.8,0.05789232,0.0569526882734914,0.0009396317265085996,0.0028364762566806395
-1,approach0,AFG,1982,11.7,0.0564848,0.0569526882734914,-0.00046788827349139583,0.0023685879831892437
-1,approach0,AFG,1983,12.6,0.05768631,0.0569526882734914,0.0007336217265086001,0.0031022097096978438
-1,approach0,AFG,1984,12.0,0.0569352,0.0569526882734914,-1.7488273491399198e-05,0.0030847214362064446
-1,approach0,AFG,1985,12.6,0.05768631,0.0569526882734914,0.0007336217265086001,0.0038183431627150446
-1,approach0,AFG,1986,12.1,0.05707424,0.0569526882734914,0.0001215517265086008,0.0039398948892236454
-1,approach0,AFG,1987,12.8,0.05789232,0.0569526882734914,0.0009396317265085996,0.004879526615732245
-1,approach0,AFG,1988,13.2,0.05823783,0.0569526882734914,0.0012851417265085999,0.006164668342240845
-1,approach0,AFG,1989,12.0,0.0569352,0.0569526882734914,-1.7488273491399198e-05,0.006147180068749446
-1,approach0,AFG,1990,12.9,0.05798702,0.0569526882734914,0.0010343317265086027,0.0071815117952580484
-1,approach0,AFG,1991,12.3,0.0573357,0.0569526882734914,0.0003830117265086058,0.007564523521766654
-1,approach0,AFG,1992,12.1,0.05707424,0.0569526882734914,0.0001215517265086008,0.007686075248275255
-1,approach0,AFG,1993,12.3,0.0573357,0.0569526882734914,0.0003830117265086058,0.008069086974783861
-1,approach0,AFG,1994,12.6,0.05768631,0.0569526882734914,0.0007336217265086001,0.008802708701292461
-1,approach0,AFG,1995,12.8,0.05789232,0.0569526882734914,0.0009396317265085996,0.00974234042780106
-1,approach0,AFG,1996,12.3,0.0573357,0.0569526882734914,0.0003830117265086058,0.010125352154309666
-1,approach0,AFG,1997,12.6,0.05768631,0.0569526882734914,0.0007336217265086001,0.010858973880818266
-1,approach0,AFG,1998,12.9,0.05798702,0.0569526882734914,0.0010343317265086027,0.01189330560732687
-1,approach0,AFG,1999,13.5,0.05843875,0.0569526882734914,0.0014860617265086001,0.01337936733383547
-1,approach0,AFG,2000,13.3,0.05831035,0.0569526882734914,0.0013576617265085994,0.014737029060344069
-1,approach0,AFG,2001,13.6,0.05849463,0.0569526882734914,0.0015419417265086013,0.01627897078685267
-1,approach0,AFG,2002,13.4,0.05837732,0.0569526882734914,0.0014246317265086059,0.017703602513361276
-1,approach0,AFG,2003,12.9,0.05798702,0.0569526882734914,0.0010343317265086027,0.01873793423986988
-1,approach0,AFG,2004,13.6,0.05849463,0.0569526882734914,0.0015419417265086013,0.02027987596637848
-1,approach0,AFG,2005,13.0,0.05807616,0.0569526882734914,0.0011234717265086042,0.021403347692887084
-1,approach0,AFG,2006,13.4,0.05837732,0.0569526882734914,0.0014246317265086059,0.02282797941939569
-1,approach0,AFG,2007,13.2,0.05823783,0.0569526882734914,0.0012851417265085999,0.02411312114590429
-1,approach0,AFG,2008,13.1,0.05815977,0.0569526882734914,0.001207081726508602,0.025320202872412892
-1,approach0,AFG,2009,13.3,0.05831035,0.0569526882734914,0.0013576617265085994,0.02667786459892149
-1,approach0,AFG,2010,13.7,0.05854497,0.0569526882734914,0.0015922817265086042,0.028270146325430096
-1,approach0,AFG,2011,13.1,0.05815977,0.0569526882734914,0.001207081726508602,0.029477228051938698
-1,approach0,AFG,2012,12.7,0.05779209,0.0569526882734914,0.0008394017265085998,0.030316629778447297
-1,approach0,AFG,2013,13.6,0.05849463,0.0569526882734914,0.0015419417265086013,0.0318585715049559
-1,approach0,AFG,2014,12.8,0.05789232,0.0569526882734914,0.0009396317265085996,0.0327982032314645
-1,approach0,AFG,2015,13.4,0.05837732,0.0569526882734914,0.0014246317265086059,0.034222834957973104
-1,approach0,AFG,2016,13.9,0.05862902,0.0569526882734914,0.0016763317265085995,0.035899166684481704
-1,approach0,AFG,2017,13.5,0.05843875,0.0569526882734914,0.0014860617265086001,0.037385228410990304
-1,approach0,AFG,2018,13.7,0.05854497,0.0569526882734914,0.0015922817265086042,0.03897751013749891
-1,approach0,AFG,2019,13.4,0.05837732,0.0569526882734914,0.0014246317265086059,0.040402141864007514
-1,approach0,AFG,2020,12.8,0.05789232,0.0569526882734914,0.0009396317265085996,0.041341773590516114
-1,approach0,AFG,2021,14.0,0.05866273,0.0569526882734914,0.0017100417265086057,0.04305181531702472
-1,approach0,AFG,2022,14.1,0.05869089,0.0569526882734914,0.001738201726508605,0.044790017043533324
-1,approach0,AGO,1961,21.3,0.04614895,0.0462183314088177,-6.938140881770222e-05,-6.938140881770222e-05
-1,approach0,AGO,1962,21.3,0.04614895,0.0462183314088177,-6.938140881770222e-05,-0.00013876281763540443
-1,approach0,AGO,1963,21.3,0.04614895,0.0462183314088177,-6.938140881770222e-05,-0.00020814422645310665
-1,approach0,AGO,1964,21.3,0.04614895,0.0462183314088177,-6.938140881770222e-05,-0.00027752563527080887
-1,approach0,AGO,1965,21.3,0.04614895,0.0462183314088177,-6.938140881770222e-05,-0.0003469070440885111
-1,approach0,AGO,1966,21.5,0.0453903,0.0462183314088177,-0.0008280314088177018,-0.001174938452906213
-1,approach0,AGO,1967,21.3,0.04614895,0.0462183314088177,-6.938140881770222e-05,-0.0012443198617239151
-1,approach0,AGO,1968,21.4,0.0457724,0.0462183314088177,-0.0004459314088177055,-0.0016902512705416206
-1,approach0,AGO,1969,21.6,0.04500266,0.0462183314088177,-0.0012156714088177034,-0.002905922679359324
-1,approach0,AGO,1970,21.6,0.04500266,0.0462183314088177,-0.0012156714088177034,-0.0041215940881770274
-1,approach0,AGO,1971,21.4,0.0457724,0.0462183314088177,-0.0004459314088177055,-0.004567525496994733
-1,approach0,AGO,1972,21.4,0.0457724,0.0462183314088177,-0.0004459314088177055,-0.005013456905812438
-1,approach0,AGO,1973,21.7,0.04460948,0.0462183314088177,-0.0016088514088177033,-0.006622308314630142
-1,approach0,AGO,1974,21.2,0.04651995,0.0462183314088177,0.0003016185911822941,-0.006320689723447848
-1,approach0,AGO,1975,21.4,0.0457724,0.0462183314088177,-0.0004459314088177055,-0.006766621132265553
-1,approach0,AGO,1976,21.2,0.04651995,0.0462183314088177,0.0003016185911822941,-0.006465002541083259
-1,approach0,AGO,1977,21.6,0.04500266,0.0462183314088177,-0.0012156714088177034,-0.007680673949900962
-1,approach0,AGO,1978,21.4,0.0457724,0.0462183314088177,-0.0004459314088177055,-0.008126605358718668
-1,approach0,AGO,1979,21.7,0.04460948,0.0462183314088177,-0.0016088514088177033,-0.009735456767536371
-1,approach0,AGO,1980,21.6,0.04500266,0.0462183314088177,-0.0012156714088177034,-0.010951128176354075
-1,approach0,AGO,1981,21.5,0.0453903,0.0462183314088177,-0.0008280314088177018,-0.011779159585171776
-1,approach0,AGO,1982,21.5,0.0453903,0.0462183314088177,-0.0008280314088177018,-0.012607190993989478
-1,approach0,AGO,1983,21.9,0.04380648,0.0462183314088177,-0.0024118514088177015,-0.01501904240280718
-1,approach0,AGO,1984,21.8,0.04421075,0.0462183314088177,-0.0020075814088177033,-0.017026623811624883
-1,approach0,AGO,1985,21.7,0.04460948,0.0462183314088177,-0.0016088514088177033,-0.018635475220442586
-1,approach0,AGO,1986,21.6,0.04500266,0.0462183314088177,-0.0012156714088177034,-0.01985114662926029
-1,approach0,AGO,1987,22.1,0.0429813,0.0462183314088177,-0.0032370314088177032,-0.023088178038077993
-1,approach0,AGO,1988,21.8,0.04421075,0.0462183314088177,-0.0020075814088177033,-0.025095759446895696
-1,approach0,AGO,1989,21.6,0.04500266,0.0462183314088177,-0.0012156714088177034,-0.0263114308557134
-1,approach0,AGO,1990,21.8,0.04421075,0.0462183314088177,-0.0020075814088177033,-0.028319012264531103
-1,approach0,AGO,1991,21.6,0.04500266,0.0462183314088177,-0.0012156714088177034,-0.029534683673348806
-1,approach0,AGO,1992,21.8,0.04421075,0.0462183314088177,-0.0020075814088177033,-0.03154226508216651
-1,approach0,AGO,1993,21.7,0.04460948,0.0462183314088177,-0.0016088514088177033,-0.03315111649098421
-1,approach0,AGO,1994,21.7,0.04460948,0.0462183314088177,-0.0016088514088177033,-0.034759967899801916
-1,approach0,AGO,1995,22.0,0.04339666,0.0462183314088177,-0.0028216714088177067,-0.03758163930861962
-1,approach0,AGO,1996,21.8,0.04421075,0.0462183314088177,-0.0020075814088177033,-0.039589220717437326
-1,approach0,AGO,1997,21.9,0.04380648,0.0462183314088177,-0.0024118514088177015,-0.04200107212625503
-1,approach0,AGO,1998,22.2,0.0425604,0.0462183314088177,-0.003657931408817705,-0.04565900353507273
-1,approach0,AGO,1999,21.7,0.04460948,0.0462183314088177,-0.0016088514088177033,-0.047267854943890436
-1,approach0,AGO,2000,21.7,0.04460948,0.0462183314088177,-0.0016088514088177033,-0.04887670635270814
-1,approach0,AGO,2001,21.9,0.04380648,0.0462183314088177,-0.0024118514088177015,-0.05128855776152584
-1,approach0,AGO,2002,22.0,0.04339666,0.0462183314088177,-0.0028216714088177067,-0.05411022917034355
-1,approach0,AGO,2003,22.1,0.0429813,0.0462183314088177,-0.0032370314088177032,-0.05734726057916125
-1,approach0,AGO,2004,21.9,0.04380648,0.0462183314088177,-0.0024118514088177015,-0.05975911198797895
-1,approach0,AGO,2005,22.2,0.0425604,0.0462183314088177,-0.003657931408817705,-0.06341704339679666
-1,approach0,AGO,2006,21.7,0.04460948,0.0462183314088177,-0.0016088514088177033,-0.06502589480561435
-1,approach0,AGO,2007,21.6,0.04500266,0.0462183314088177,-0.0012156714088177034,-0.06624156621443206
-1,approach0,AGO,2008,21.6,0.04500266,0.0462183314088177,-0.0012156714088177034,-0.06745723762324976
-1,approach0,AGO,2009,21.8,0.04421075,0.0462183314088177,-0.0020075814088177033,-0.06946481903206747
-1,approach0,AGO,2010,22.0,0.04339666,0.0462183314088177,-0.0028216714088177067,-0.07228649044088517
-1,approach0,AGO,2011,21.6,0.04500266,0.0462183314088177,-0.0012156714088177034,-0.07350216184970287
-1,approach0,AGO,2012,21.7,0.04460948,0.0462183314088177,-0.0016088514088177033,-0.07511101325852057
-1,approach0,AGO,2013,21.7,0.04460948,0.0462183314088177,-0.0016088514088177033,-0.07671986466733827
-1,approach0,AGO,2014,21.7,0.04460948,0.0462183314088177,-0.0016088514088177033,-0.07832871607615596
-1,approach0,AGO,2015,21.8,0.04421075,0.0462183314088177,-0.0020075814088177033,-0.08033629748497367
-1,approach0,AGO,2016,22.0,0.04339666,0.0462183314088177,-0.0028216714088177067,-0.08315796889379137
-1,approach0,AGO,2017,21.9,0.04380648,0.0462183314088177,-0.0024118514088177015,-0.08556982030260907
-1,approach0,AGO,2018,21.8,0.04421075,0.0462183314088177,-0.0020075814088177033,-0.08757740171142678
-1,approach0,AGO,2019,21.9,0.04380648,0.0462183314088177,-0.0024118514088177015,-0.08998925312024447
-1,approach0,AGO,2020,21.8,0.04421075,0.0462183314088177,-0.0020075814088177033,-0.09199683452906218
-1,approach0,AGO,2021,21.8,0.04421075,0.0462183314088177,-0.0020075814088177033,-0.09400441593787989
-1,approach0,AGO,2022,21.7,0.04460948,0.0462183314088177,-0.0016088514088177033,-0.09561326734669759
-1,approach0,ALB,1961,12.6,0.05768631,0.0570531489178611,0.0006331610821389,0.0006331610821389
-1,approach0,ALB,1962,12.3,0.0573357,0.0570531489178611,0.00028255108213890573,0.0009157121642778057
-1,approach0,ALB,1963,12.3,0.0573357,0.0570531489178611,0.00028255108213890573,0.0011982632464167114
-1,approach0,ALB,1964,11.8,0.05664047,0.0570531489178611,-0.0004126789178610993,0.0007855843285556122
-1,approach0,ALB,1965,11.7,0.0564848,0.0570531489178611,-0.0005683489178610959,0.00021723541069451624
-1,approach0,ALB,1966,12.5,0.05757498,0.0570531489178611,0.0005218310821389002,0.0007390664928334165
-1,approach0,ALB,1967,12.1,0.05707424,0.0570531489178611,2.1091082138900707e-05,0.0007601575749723172
-1,approach0,ALB,1968,12.2,0.05720774,0.0570531489178611,0.00015459108213890238,0.0009147486571112196
-1,approach0,ALB,1969,11.9,0.05679061,0.0570531489178611,-0.0002625389178610993,0.0006522097392501203
-1,approach0,ALB,1970,12.0,0.0569352,0.0570531489178611,-0.00011794891786109929,0.000534260821389021
-1,approach0,ALB,1971,11.8,0.05664047,0.0570531489178611,-0.0004126789178610993,0.0001215819035279217
-1,approach0,ALB,1972,11.9,0.05679061,0.0570531489178611,-0.0002625389178610993,-0.0001409570143331776
-1,approach0,ALB,1973,11.8,0.05664047,0.0570531489178611,-0.0004126789178610993,-0.0005536359321942769
-1,approach0,ALB,1974,11.9,0.05679061,0.0570531489178611,-0.0002625389178610993,-0.0008161748500553762
-1,approach0,ALB,1975,11.9,0.05679061,0.0570531489178611,-0.0002625389178610993,-0.0010787137679164754
-1,approach0,ALB,1976,11.4,0.0559845,0.0570531489178611,-0.001068648917861098,-0.0021473626857775735
-1,approach0,ALB,1977,12.3,0.0573357,0.0570531489178611,0.00028255108213890573,-0.0018648116036386678
-1,approach0,ALB,1978,11.4,0.0559845,0.0570531489178611,-0.001068648917861098,-0.002933460521499766
-1,approach0,ALB,1979,12.2,0.05720774,0.0570531489178611,0.00015459108213890238,-0.0027788694393608634
-1,approach0,ALB,1980,11.3,0.05580665,0.0570531489178611,-0.0012464989178610983,-0.004025368357221962
-1,approach0,ALB,1981,11.9,0.05679061,0.0570531489178611,-0.0002625389178610993,-0.004287907275083061
-1,approach0,ALB,1982,12.1,0.05707424,0.0570531489178611,2.1091082138900707e-05,-0.00426681619294416
-1,approach0,ALB,1983,11.8,0.05664047,0.0570531489178611,-0.0004126789178610993,-0.00467949511080526
-1,approach0,ALB,1984,11.7,0.0564848,0.0570531489178611,-0.0005683489178610959,-0.0052478440286663555
-1,approach0,ALB,1985,12.0,0.0569352,0.0570531489178611,-0.00011794891786109929,-0.005365792946527455
-1,approach0,ALB,1986,12.2,0.05720774,0.0570531489178611,0.00015459108213890238,-0.005211201864388552
-1,approach0,ALB,1987,11.8,0.05664047,0.0570531489178611,-0.0004126789178610993,-0.005623880782249652
-1,approach0,ALB,1988,12.3,0.0573357,0.0570531489178611,0.00028255108213890573,-0.005341329700110746
-1,approach0,ALB,1989,12.0,0.0569352,0.0570531489178611,-0.00011794891786109929,-0.005459278617971845
-1,approach0,ALB,1990,12.5,0.05757498,0.0570531489178611,0.0005218310821389002,-0.004937447535832945
-1,approach0,ALB,1991,11.5,0.05615681,0.0570531489178611,-0.0008963389178610962,-0.005833786453694041
-1,approach0,ALB,1992,12.2,0.05720774,0.0570531489178611,0.00015459108213890238,-0.005679195371555139
-1,approach0,ALB,1993,12.1,0.05707424,0.0570531489178611,2.1091082138900707e-05,-0.005658104289416238
-1,approach0,ALB,1994,13.2,0.05823783,0.0570531489178611,0.0011846810821388998,-0.004473423207277338
-1,approach0,ALB,1995,12.0,0.0569352,0.0570531489178611,-0.00011794891786109929,-0.004591372125138438
-1,approach0,ALB,1996,11.7,0.0564848,0.0570531489178611,-0.0005683489178610959,-0.0051597210429995335
-1,approach0,ALB,1997,12.0,0.0569352,0.0570531489178611,-0.00011794891786109929,-0.005277669960860633
-1,approach0,ALB,1998,12.6,0.05768631,0.0570531489178611,0.0006331610821389,-0.004644508878721733
-1,approach0,ALB,1999,12.9,0.05798702,0.0570531489178611,0.0009338710821389026,-0.00371063779658283
-1,approach0,ALB,2000,13.2,0.05823783,0.0570531489178611,0.0011846810821388998,-0.0025259567144439304
-1,approach0,ALB,2001,12.8,0.05789232,0.0570531489178611,0.0008391710821388995,-0.001686785632305031
