# Input data: Maddison_CRU_dataset.csv
Approach,h1,h1_SE,h2,h2_SE,T_opt,T_opt_SE,h4,h4_SE,R_squared,Total_R_squared,Adj_R_squared,RMSE,RMS_Imbalance,RMS_h_T,Imbalance_Ratio,n_obs,n_params
Approach0J: No Climate Response (Joint),0.0,0.0,0.0,0.0,,,,,0.1856673502562166,0.1856673502562166,0.1382035035817223,0.05659997385210653,,,,8680,479
Approach0P: No Climate Response (Precomputed k),0.0,0.0,0.0,0.0,,,,,0.1856673502562165,0.1856673502562165,0.13788813526149102,0.056599973852106536,,,,8680,482
Approach0L: No Climate Response (LOESS Precomputed k),0.0,0.0,0.0,0.0,,,,,0.1856673502562165,0.1856673502562165,0.17990333405357428,0.056599973852106536,,,,8680,62
Approach1J: Quadratic (Joint OLS),0.00807102877765846,0.0034244384661139583,-0.00027720242122732303,0.00010265005899002023,14.558005557678227,,,,0.1863929345279196,0.1863929345279196,0.13876134635538662,0.05657475246194125,0.033735758985298105,0.039069855850703,0.8634728296467744,8680,481
Approach1P: Quadratic (Polynomial Detrending),0.006627829238296417,0.003060790860643559,-0.00021482203994184818,8.762611883301392e-05,15.426325064436021,,,,0.0006939727110314431,0.18623247489284067,0.0005788187553632529,0.05658033102496936,0.06220060598782148,0.036674878178356275,1.696000343486601,8680,2
Approach1L: Quadratic (LOESS Detrending),0.007911756899983486,0.0031362954989210758,-0.0002574614600677053,9.010933282113982e-05,15.364934421452654,,,,0.0009430819651525812,0.18643533269182488,0.0008279567153214318,0.05657327834932607,0.06782713577621718,0.043388504942528286,1.5632512774076892,8680,2
Approach2J: Piecewise (Joint OLS),0.0,0.0,-0.0001275514172264331,7.410083656607665e-05,22.785920261186966,0.9925237527331684,-0.0012598938141906142,0.0004832485463944505,0.1866131871306227,0.1866131871306227,0.13899449336585856,0.05656709423204411,0.033748598498116275,0.023070721690239212,1.462832370449628,8680,3
Approach2P: Piecewise (Polynomial Detrending),0.0,0.0,-0.00015463383765671712,9.418976309725378e-05,17.93858282263268,,-0.0003472649125135612,0.00017743116795920403,0.0007514246172262151,0.18627925985584504,0.0005211034058898445,0.05657870454894275,0.03061503436240757,0.0015515255790957503,19.732213748129386,8680,3
Approach2L: Piecewise (LOESS Detrending),0.0,0.0,-0.00018979588635545684,0.0001052807030121649,16.83484610158724,4.038993885524749,-0.00038536937652763214,0.00016029661755073772,0.0010394377821192347,0.1865137983795735,0.000809182956207577,0.05657055012844167,0.03172043050725727,0.0018248008725919081,17.382954482152485,8680,3
Approach3J: Persistence (Joint OLS),0.009328599900383072,0.0029234996672004377,-0.00026689505946243385,8.92928152948334e-05,17.4761569569183,,0.5969776484457612,0.2327630624200797,0.1867068171237245,0.1867068171237245,0.13909360480751376,0.05656383838317499,0.08990269374764472,0.0021837530168139353,41.1688927527214,8680,3
Approach3P: Persistence (Polynomial Detrending),0.008172234837047916,0.002666493204649186,-0.00022147225611224587,7.749228716510078e-05,18.449793623148196,,0.6192221423268826,0.2550701392272413,0.0011071128925220775,0.1865689084315495,0.0008768736653450571,0.05656863389510272,0.08730569822963645,0.0018832682498727035,46.35860995136393,8680,3
Approach3L: Persistence (LOESS Detrending),0.00800607964618813,0.002681389743691521,-0.000214008984457487,7.778089440752552e-05,18.70500826515193,,0.6348542105342111,0.25614816585177375,0.0010444550622001891,0.1865178841145564,0.0008142013927434633,0.056570408065450675,0.08699670461365526,0.0018291996521803504,47.55998313795754,8680,3
