percentile,iso3,h_T_delta_cum_2022,target_percentile_value
5,KWT,-0.336475771361195,-0.3384789509123576
25,DOM,-0.21639577841943713,-0.21639577841943713
50,ECU,-0.10155974438884885,-0.10155974438884885
75,ROU,0.194308196330498,0.194308196330498
95,FIN,0.8211274183033077,0.8889777787435409
