percentile,iso3,h_T_delta_cum_2022,target_percentile_value
min,SDN,-0.49510431542992583,-0.49510431542992583
5,FIN,-0.3192823223964385,-0.31962259582981234
25,SLE,-0.1571186330491836,-0.15815424883475465
50,CAF,-0.0827279000358393,-0.08293245260725407
75,LUX,-0.02730092045356547,-0.02693983620459195
95,CHL,0.05604482866647609,0.057483620293888614
max,MNG,0.37523432146001867,0.37523432146001867
