# Input data: Maddison_CRU_dataset.csv
iteration,approach,approach_name,C_Delta_u,C_epsilon,C_j,C_k,C_v,Sigma_Delta_u_Delta_u,Sigma_Delta_u_epsilon,Sigma_Delta_u_j,Sigma_Delta_u_k,Sigma_Delta_u_v,Sigma_epsilon_epsilon,Sigma_h_epsilon,Sigma_h_h,Sigma_h_j,Sigma_h_k,Sigma_j_epsilon,Sigma_j_j,Sigma_j_k,Sigma_k_epsilon,Sigma_k_k,Sigma_v_epsilon,Sigma_v_j,Sigma_v_k,Sigma_v_v,cov_epsilon_Delta_u,cov_epsilon_j,cov_epsilon_k,cov_epsilon_v,s_Delta_u,s_epsilon,s_j,s_k,s_v,sum_check,var_dy
-1,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0032007026161298972,0.00041826766275846876,0.0002897018783763728,2.529394499959986e-05,0.0,0.0,0.0,0.0,0.0,0.0032007026161299267,-2.852281103317211e-17,0.00034258685451743243,-0.00030771217156157145,-9.580737956232597e-06,-7.573426972596901e-19,0.0008911316422742845,-0.0001651518079542436,-3.5933557716662435e-19,0.00046443442428684937,-2.852281103317211e-17,-0.00030771217156157145,-9.580737956232597e-06,0.00034258685451743243,0.0,-7.573426972596901e-19,-3.5933557716662435e-19,-2.852281103317211e-17,0.0,0.8136070654720728,0.10632213188561015,0.07364117301611323,0.006429629626203692,0.003933966102264338,0.003933966102264339
0,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.003436498625647725,0.00015196630426910434,0.000249229332001588,9.627184034592239e-05,0.0,0.0,0.0,0.0,0.0,0.004031627616134565,-0.0005292156119750845,0.0016250255185595135,-0.0009954462289589426,-4.091837279563962e-06,-3.555761057200234e-05,0.0011822873179010275,6.828258990217463e-07,-3.0355767939752824e-05,0.0002829941113218831,-0.0005292156119750845,-0.0009954462289589426,-4.091837279563962e-06,0.0016250255185595135,0.0,-3.555761057200234e-05,-3.0355767939752824e-05,-0.0005292156119750845,0.0,0.8735455609720993,0.03862928665847795,0.06335319764400991,0.02447195472541301,0.00393396610226434,0.003933966102264339
1,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0035451443096143906,0.00020429145844574586,0.00014204559570017147,4.248473850403158e-05,0.0,0.0,0.0,0.0,0.0,0.0038542023302041814,-0.00022396156338526328,0.0006011820482048039,-0.00033413393009889023,-6.018162166188157e-07,-5.1408629248729565e-05,0.0005954224130062741,-5.588395212908459e-06,-3.368782795579819e-05,0.00018192363508549695,-0.00022396156338526328,-0.00033413393009889023,-6.018162166188157e-07,0.0006011820482048039,0.0,-5.1408629248729565e-05,-3.368782795579819e-05,-0.00022396156338526328,0.0,0.9011629021342742,0.051930152201402645,0.03610747830755631,0.010799467356766984,0.00393396610226434,0.003933966102264339
2,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0035302139925761436,0.00016635095938038807,0.00011798788859817123,0.00011941326170963927,0.0,0.0,0.0,0.0,0.0,0.006924829160992375,-0.00047713263134467447,0.0018166469074893405,-0.001199955733413546,-2.0145281021480823e-05,-0.002141094502888468,0.003616528618865535,-0.00010912742318313296,-0.0007763880341830894,0.0010236486269858745,-0.00047713263134467447,-0.001199955733413546,-2.0145281021480823e-05,0.0018166469074893405,0.0,-0.002141094502888468,-0.0007763880341830894,-0.00047713263134467447,0.0,0.8973676693716804,0.042285814126522,0.029992095897892704,0.030354420603905707,0.0039339661022643425,0.003933966102264339
3,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.00341192350123362,0.0001238858267855734,0.00019526979290384922,0.00020288698134129403,0.0,0.0,0.0,0.0,0.0,0.0067403633467498945,-0.0016813734476553586,0.0045018749574751,-0.0026124300018556773,-5.1845266227703725e-06,-0.001025457073589235,0.004234912551819139,-0.00047313964958865367,-0.0006216093242716808,0.001295203293386954,-0.0016813734476553586,-0.0026124300018556773,-5.1845266227703725e-06,0.0045018749574751,0.0,-0.001025457073589235,-0.0006216093242716808,-0.0016813734476553586,0.0,0.8672986529471521,0.03149133052119243,0.04963687734661834,0.051573139185036435,0.0039339661022643364,0.003933966102264339
4,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.003360022976964263,0.0002641215733392,0.0002889732290118429,2.0848322949035557e-05,0.0,0.0,0.0,0.0,0.0,0.004865905056160514,-0.00017042521339643196,0.0002138133227290903,-2.4847667958604607e-05,2.3078815749818385e-06,-0.000646887050276189,0.0010408496780864149,-0.00010499338651242125,-0.0006885698155236301,0.0010802285494729124,-0.00017042521339643196,-2.4847667958604607e-05,2.3078815749818385e-06,0.0002138133227290903,0.0,-0.000646887050276189,-0.0006885698155236301,-0.00017042521339643196,0.0,0.8541057267957337,0.06713875170077727,0.07345595297466181,0.0052995685288278254,0.003933966102264342,0.003933966102264339
5,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.003457297859826909,0.00014685122600867085,0.00020220617719874677,0.0001276108392300122,0.0,0.0,0.0,0.0,0.0,0.0044702031864760445,-0.0008074296924428753,0.0022174276749736405,-0.0012783606285767188,-4.026514724034204e-06,-0.00014528288340542444,0.0016348711872075648,-6.437644921675069e-05,-6.0192750800835405e-05,0.0003308018919403671,-0.0008074296924428753,-0.0012783606285767188,-4.026514724034204e-06,0.0022174276749736405,0.0,-0.00014528288340542444,-6.0192750800835405e-05,-0.0008074296924428753,0.0,0.8788326513126115,0.037329052206155316,0.0514000812265158,0.03243821525471739,0.003933966102264339,0.003933966102264339
6,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0033181366631242545,0.00030731436647834034,0.00034638126769084496,-3.786619502910266e-05,0.0,0.0,0.0,0.0,0.0,0.005911118750640278,-3.810982821540407e-05,0.0007035629226255925,-0.0006970746431744662,-6.244646264824914e-06,-0.00024060287867007423,0.0014641026949094953,-0.00021911080658661456,-0.002314269380630545,0.0028860061011728297,-3.810982821540407e-05,-0.0006970746431744662,-6.244646264824914e-06,0.0007035629226255925,0.0,-0.00024060287867007423,-0.002314269380630545,-3.810982821540407e-05,0.0,0.8434583768310506,0.07811820399302735,0.0880488694326757,-0.009625450256754216,0.003933966102264337,0.003933966102264339
7,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0036352153809421804,7.195045401599406e-05,0.00013264205204252834,9.415821526363732e-05,0.0,0.0,0.0,0.0,0.0,0.004972414383333702,-0.0003658614346857482,0.0009447462005411786,-0.0004725247239382572,-1.2201826653535863e-05,-0.0008285136607526007,0.0016043800517750884,-0.00023139121306823656,-0.00014282390695317284,0.0005190589987174736,-0.0003658614346857482,-0.0004725247239382572,-1.2201826653535863e-05,0.0009447462005411786,0.0,-0.0008285136607526007,-0.00014282390695317284,-0.0003658614346857482,0.0,0.924058643731017,0.018289546006657335,0.03371713141254098,0.023934678849784976,0.00393396610226434,0.003933966102264339
8,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0033409787866800437,0.00020281386499843945,0.00030186798828616595,8.830546229968898e-05,0.0,0.0,0.0,0.0,0.0,0.005625608002067354,-0.00035944573561812366,0.0011525319425959321,-0.0006881052820983946,-1.6675462579724873e-05,-0.00129726907492554,0.002200705438708602,-1.2517216686227864e-05,-0.0006279144048436468,0.0009589750723957655,-0.00035944573561812366,-0.0006881052820983946,-1.6675462579724873e-05,0.0011525319425959321,0.0,-0.00129726907492554,-0.0006279144048436468,-0.00035944573561812366,0.0,0.8492647622858317,0.051554553274290406,0.07673375429249751,0.022446930147380154,0.003933966102264338,0.003933966102264339
