iso_id,T0,T1,y0,y1,y2
AFG,12.716129032258065,0.029236231774571284,0.008697951817911456,0.0005548184205804198,-2.5959348422020714e-05
AGO,21.679032258064517,0.009027725315403759,0.030251239060610276,0.0008704601527623243,-3.806702093313817e-05
ALB,12.456451612903225,0.028755256729873335,0.021974059719299433,0.0004505306602416505,1.8248157531961602e-05
ARE,27.825806451612902,0.027629624033643038,0.01150136594231247,0.000596228582910336,2.850005747856714e-06
ARG,15.254838709677417,0.011236181410692261,0.010452270360659365,-0.0001631351487570489,3.866978584383279e-06
ARM,8.02367864693446,0.0405919661733616,-0.01600351915098129,0.0018484352076170228,2.6417748032425432e-05
AUS,21.843548387096774,0.014381405655863625,0.022727352586068846,-0.00020346662074046957,-4.879631632331404e-06
AUT,7.030645161290322,0.038153156556117965,0.02326058108229388,-0.0005849705609567743,-1.8258748380405553e-07
AZE,12.723044397463006,0.0401691331923888,0.01085651158595167,0.0036486612130327075,-9.90488504379783e-05
BDI,19.811290322580643,0.015806703432298317,-0.005817448361659019,-0.00042004110733634273,1.706985348881812e-05
BEL,10.153225806451612,0.0376545541537609,0.01841971339192603,-0.0005760178235950087,9.436809329216745e-06
BEN,27.912903225806453,0.02015058799828761,0.003087144306153915,0.000207777200384275,1.670976298408122e-05
BFA,29.13225806451613,0.021047065044949756,0.0011211371072762382,6.029994475699041e-05,2.485273157267379e-05
BGD,25.31612903225807,0.007987711213517615,0.026721747743534637,0.001215226087247717,3.935156059278614e-06
BGR,11.054838709677417,0.03144216967590844,0.006037479095764957,-5.007161125303102e-05,5.617867816172046e-05
BHR,27.140322580645158,0.0332174964115736,0.04935250790506006,0.00030592211068895044,-4.6155001628286354e-05
BLR,6.561091815161582,0.05036242826940506,0.01842916734986393,0.0002753743311980894,-9.294231442399394e-06
BOL,21.36935483870968,0.00072272166402261,0.007836464456322792,-1.9423944232290755e-05,2.231457314087347e-05
BRA,25.145161290322584,0.020991664778021234,0.02407390370097201,-0.0004897551833373486,-1.6119636655216162e-06
BRB,26.311290322580643,0.021477676210621736,0.0018459153005071117,-0.0009973375344076068,3.3298478493373144e-05
BWA,21.78870967741935,0.020792727455868635,0.06735819728674038,-0.0008997769171769382,-4.075256085817199e-05
CAF,25.329032258064515,0.01392561255067863,-0.01629526555732009,-0.00018776845432397256,2.2305187885712763e-06
CAN,-0.22419354838709685,0.021183047518319866,0.01782449742426363,-0.00046234714952014463,3.9093429100283e-06
CHE,6.370967741935483,0.03777794565737453,0.022280197733026346,-0.0002637312612712771,-1.4030722051648886e-06
CHL,9.091935483870966,0.010442950316033348,0.026410162472181593,0.00014622765379337146,-2.1525393179790207e-05
CHN,7.509677419354838,0.025348140313766972,0.05290084136217845,0.000720573079556002,-1.9057192639324906e-05
CIV,26.70806451612903,0.016788799073304602,-0.011997661553130892,0.00021872933030359524,7.246991948716531e-05
CMR,24.724193548387095,0.009541436881468607,0.008914809034007322,-8.594589843240308e-05,1.0026807908780554e-05
COG,24.63709677419355,0.012220795245649847,0.0233037465915783,-0.0007457641204733931,-3.552535950628825e-05
COL,24.967741935483875,0.014837198761048588,0.019233962710453578,-3.961546503200257e-05,4.946660990587124e-06
COM,24.830645161290324,0.013298582256805407,0.0064383883417043234,-0.00011363176945400367,3.173012747463524e-05
CRI,25.269354838709674,0.01495051748885696,0.01503719810920771,-6.738469437867169e-05,1.7286044375832893e-05
CUB,25.520967741935483,0.02085820049860237,0.014528866182917103,0.00022522772088220873,1.8703257972566933e-06
CYP,18.429032258064517,0.022492508372994855,0.035342293750477094,-0.0008034830779750435,3.9744863087080515e-07
CZE,7.975655254845045,0.041022795184837334,0.025085375412779748,-6.330843337621924e-05,1.2781711118213236e-06
DEU,8.996774193548388,0.03672534058573192,0.02181360696953821,-0.00034449083470496403,-9.041733938635341e-07
DJI,28.433870967741935,0.017529148094986263,-0.020699863653914526,0.0008122867874246826,5.8568123794015565e-05
DMA,26.504838709677422,0.018803354234343123,0.04909244845015998,-0.0003519840891694484,-5.4347947257267634e-05
DNK,8.198387096774193,0.032804512603560716,0.017930933526090174,-0.0003629851510832454,8.645805998542969e-06
DOM,25.088709677419356,0.016446324695928105,0.03657605132956024,0.00046799033354842266,-6.212290267207203e-06
DZA,23.048387096774192,0.019380020649190394,0.03889623163721433,0.0003091559350450372,-5.090634588660086e-05
ECU,21.69838709677419,0.010251567575734697,0.01768128475850347,-0.00029743802087965187,-3.81639381433484e-06
EGY,22.60483870967742,0.027168794540555544,0.04140776617081621,-2.9312602570821554e-05,-2.236559282116206e-05
ESP,13.779032258064515,0.028825766160509667,0.02686332001534191,-0.0009803816566243135,1.2526793698194524e-05
EST,5.613160676532771,0.04830866807610992,0.012715145948990774,4.314191711312252e-05,2.0420413793014865e-05
ETH,22.877419354838707,0.019934023318475994,-0.004958376931489022,0.0007514210717169587,7.509055344422089e-05
FIN,2.0322580645161294,0.03704263302359548,0.02184943938775135,-0.0005926264104292792,2.8172391306416225e-06
FRA,11.222580645161292,0.03645841202689432,0.015462993428312918,-0.0006263567746173262,1.2042918155172311e-05
GAB,25.059677419354838,0.011072498803857885,0.020432047655984272,-0.0005210039721605355,5.359721198967002e-06
GBR,8.912903225806454,0.0243207171816373,0.019282662236101023,-0.0002933372673976765,-8.587835927738221e-06
GEO,7.547387496224704,0.04421624886741174,-0.019434284326779384,-0.000523425370859075,0.0001397077568940658
GHA,27.448387096774194,0.01948578479514494,0.00920236408807417,0.0009113192915387758,4.406451355609339e-06
GIN,25.803225806451614,0.020407443781320023,0.009953993962238894,0.00032128003341816056,1.8874370719194704e-05
GMB,28.241935483870968,0.021414721361839303,-0.0011040173291934265,6.562771839634159e-05,3.0843454030611315e-05
GNB,27.529032258064518,0.021031955881242008,-0.007581256776959478,-0.0003431447073119261,5.937537609971969e-05
GNQ,24.63225806451613,0.010616705698672908,0.08698073227550193,-0.0008420896925006837,-0.00011917812757586226
GRC,15.53064516129032,0.024131852635289983,0.01827126149334936,-0.0010294427306692673,2.4422274315602207e-05
GTM,23.809677419354838,0.02165646798116394,0.003865044001571106,-0.0001817945648192207,2.943068342965065e-05
HKG,23.001612903225805,0.016899599607161763,0.03784743588324284,-0.0010968859355105734,-4.845717418740583e-06
HND,24.532258064516128,0.020054896628138308,0.011777194871364308,6.227534649593735e-05,7.645606003092785e-06
HRV,11.735483870967743,0.038271511671828955,0.008649494853742161,-0.0003088692384057058,5.722990844918459e-05
HTI,25.00161290322581,0.016365742489486516,0.0012636265050157617,7.139457820212264e-05,-1.1844327704673704e-05
HUN,10.762903225806454,0.03801213769484526,0.0182104080674371,0.00020461344820855198,2.4834372468334387e-05
IDN,25.959677419354843,0.0112789907078643,0.0405433600509039,0.00024673423700896646,-2.2271331275365298e-05
IND,25.366129032258062,0.016395960816902137,0.032594112463805086,0.000769639696437122,-7.728524208893881e-06
IRL,9.662903225806454,0.019246556369771562,0.04528170796529979,-0.0002259529452009681,-3.1700944192956796e-05
IRN,18.09193548387097,0.035388179597592585,0.018444511735825092,-0.0003091738234235024,2.7103574537288135e-05
IRQ,22.2758064516129,0.0336657349349047,0.0011379631097693458,0.0007065838937784542,5.17459738096827e-05
ISL,1.8725806451612903,0.02562262345445846,0.019746617877733658,-0.0006070464884597131,6.178579833467177e-06
ISR,19.25,0.028437964292009784,0.015102219047484731,-0.0005735369948835393,3.319567627086935e-05
ITA,14.182258064516127,0.03353478884943719,0.01782871971026424,-0.0007927206856334378,1.2110159514866774e-05
JAM,26.151612903225807,0.019108055702450215,0.005744025603493039,-0.00023474209086390342,1.0784126772202365e-05
JOR,18.919354838709673,0.02936214147213622,0.02024628032681384,-0.0005042453307306565,-1.7801785871544937e-05
JPN,11.91451612903226,0.02777819747676965,0.017033255046196807,-0.001356013616514341,3.724349869747151e-05
KAZ,6.805647840531563,0.035880398671096256,0.010435839436663447,0.0036862662162641235,-0.00011191371623989633
KEN,25.059677419354834,0.017927022739291417,0.01319831771122499,0.00020358269380513395,1.3135034669526827e-05
KGZ,2.355474176985805,0.03797946239806702,-0.019705435837448836,0.00120812037015131,2.2904367348771217e-05
KHM,27.085483870967742,0.014421696759084392,0.02168069161688991,0.0006975726997737969,-1.9945871624597747e-06
KOR,12.437096774193549,0.025683060109289606,0.06307783779211462,-0.0010187518682983343,-3.153897982065431e-05
KWT,26.0,0.03878018684999119,0.029176778682964116,0.0015213761179997032,-6.879156601076594e-05
LAO,23.52903225806451,0.01655964342373658,0.042149928303137324,0.0007607804473466029,-1.9318343956767087e-05
LBN,16.335483870967742,0.026471254816045908,0.026853551828122667,0.0002689022601162213,-5.483180835172066e-05
LBR,25.301612903225806,0.013263327541487183,-0.05922529837942803,2.2139904172802818e-05,0.00010885975601968319
