percentile,iso3,h_T_delta_cum_2022,target_percentile_value
min,SDN,-0.4778293193563798,-0.4778293193563798
5,TTO,-0.30417648988012375,-0.3045913952754371
25,GTM,-0.1964642867395331,-0.1965165210142525
50,MMR,-0.1306236447848958,-0.122279032211382
75,ESP,0.02241823440581603,0.024891299939226202
95,AUT,0.24872621495252661,0.25003070092501367
max,RUS,0.6374956570295547,0.6374956570295547
