Metric,Approach NJ_point,Approach NJ_p5,Approach NJ_p25,Approach NJ_p50,Approach NJ_p75,Approach NJ_p95,Approach QJ_point,Approach QJ_p5,Approach QJ_p25,Approach QJ_p50,Approach QJ_p75,Approach QJ_p95,Approach PJ_point,Approach PJ_p5,Approach PJ_p25,Approach PJ_p50,Approach PJ_p75,Approach PJ_p95,Approach DJ_point,Approach DJ_p5,Approach DJ_p25,Approach DJ_p50,Approach DJ_p75,Approach DJ_p95
Var(h(T))/Var(Δy),0.0,0.0,0.0,0.0,0.0,0.0,0.08708434328262639,0.033946016855694906,0.07894526096287936,0.13399455567359697,0.22243591634837023,0.4941979279612676,0.07178243562240229,0.031324451647686664,0.07417451607846934,0.13224992737455435,0.22281535376007042,0.47909008573567735,0.001212205010138548,0.0006633596524905351,0.0012395300722863373,0.0017930022535953703,0.0027736117784671315,0.013687022572146294
Var(j)/Var(Δy),0.15929400584918882,0.09763133206049843,0.11497753854636532,0.13443423586851105,0.17495364553313236,0.3047929867276079,0.22652245065248153,0.15377608609996352,0.21715972975214617,0.27751455479849685,0.387919228382804,0.6335279120376599,0.22841939426801108,0.15968461196072958,0.21961062246292629,0.28744409122649134,0.38777717025818104,0.6166974021266829,0.15899080184646155,0.0977191281688859,0.11541774170378191,0.13502055813233382,0.17587931530927514,0.30412806009949217
Var(k)/Var(Δy),0.11951981289700775,0.0843160711547016,0.09850654669053754,0.11873542357030231,0.15734990076031158,0.2888152868755417,0.11805755622039607,0.08622924410320142,0.10091949215343143,0.12166971497883652,0.16373326704398494,0.3055352214823971,0.11506476570864677,0.08736747369805214,0.10202606950319462,0.12260021932690515,0.16381901009274502,0.30704867856157875,0.12021799053662166,0.08512419238760284,0.09926419269966469,0.11959601641328244,0.15850474483716534,0.30204531660307044
Var(ε)/Var(Δy),0.8143326497437805,0.777248897729386,0.7958732622052817,0.808280777737027,0.8187712385160939,0.8358020869976728,0.8136070654720816,0.776435727969914,0.7949529427511974,0.8071347286254041,0.8177409173792255,0.8342774458703872,0.8133868128693708,0.7762029290881458,0.794700121180571,0.8069800066002792,0.8172962091567326,0.8339207797487151,0.8132931828762734,0.7759562256100379,0.794585149146822,0.8068722951034375,0.8173997893115712,0.8340045868157581
"2Cov(h(T),j)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,-0.15643864921906062,-0.9198254901718913,-0.42589449220440756,-0.2537325058206915,-0.15424089382473768,-0.06421256987998368,-0.14656564974673558,-0.8976249299364581,-0.42611681055386896,-0.26366511841754525,-0.1532116132660608,-0.06136153605467084,0.00028095324461415734,-0.01933073671482289,-5.477554663223037e-05,0.00015335424828353254,0.0003585026573279245,0.0009402542210186816
"2Cov(h(T),k)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,-0.004870778093729107,-0.0154290442813603,-0.0043567571909221515,-0.0010912170913140716,0.0017706405633235505,0.011117874904746633,-0.004574498114675247,-0.017553040072238735,-0.005156261416466442,-0.00119104179583726,0.002433545305184579,0.012393123912003392,-0.0009109966892028917,-0.007823018421375238,-0.0016243091600961015,-0.0010064425894121,-0.0005176205212560668,0.0044243814024312504
"2Cov(h(T),ε)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,-5.7989474735962604e-15,-2.8346826678813708e-14,-8.026751873561875e-15,-1.0098934183746189e-15,7.338976197515178e-15,2.8576667049573405e-14,-8.041216138388362e-15,-3.807973942623475e-14,-9.13163210429098e-15,4.3998154712644026e-16,9.914201629283802e-15,4.2804558890854e-14,-9.55202641059269e-17,-9.606703432373454e-16,-1.4069081130668271e-16,-3.7336311099847764e-18,1.2477914252329362e-16,7.691014819090967e-16
"2Cov(j,k)/Var(Δy)",-0.0931464684899772,-0.3865654565351157,-0.1384817591312987,-0.056099895385625737,-0.022575908330759772,-0.0017175673187409556,-0.08396198831476583,-0.40682814701038317,-0.14139637483428985,-0.06418042601197917,-0.02634649455272883,-0.002073874740878169,-0.07751326060702117,-0.4139389816375427,-0.14301383761522232,-0.06695109846697539,-0.028032382340265644,-0.0029383072155133028,-0.09308413682487747,-0.38658962552236975,-0.13958662408816125,-0.0568416699884213,-0.02386777368193487,-0.0018970758440706936
"2Cov(j,ε)/Var(Δy)",-8.743920658095425e-15,-1.6892849391890342e-14,-7.36462301635902e-15,-1.9142784648645166e-15,3.2935323857602715e-15,1.2247389754718331e-14,2.4800875784254348e-14,-1.0757071281630371e-13,-2.4140180692420395e-14,6.3315526404276e-16,2.4072735635595147e-14,9.970833560995264e-14,-1.3210804328976365e-14,-5.695805081652829e-14,-1.5520571966183512e-14,-7.981474938301272e-17,1.5405339358634687e-14,5.317191991519897e-14,-4.441406520263136e-15,-1.4465481321321667e-14,-4.8561134363599135e-15,-2.0021640816917565e-16,5.109487249723443e-15,1.347481862591994e-14
"2Cov(k,ε)/Var(Δy)",4.293420598529025e-15,-1.6254915040513238e-14,-3.833367611790627e-15,2.571960450321314e-15,8.485852837699532e-15,2.0037370689289666e-14,-5.265804440662951e-14,-1.873794413002012e-13,-3.44231139606073e-14,-7.432109518983505e-16,2.3745218874044153e-14,1.5440212013646297e-13,5.876026649617916e-15,-2.1110436746529917e-14,-5.048408038406683e-15,1.570750718827923e-16,5.22395392553565e-15,2.274962270672659e-14,-7.945797478073532e-15,-8.797132704019358e-15,-2.655360820675371e-15,-1.172241618999329e-16,2.387517213535444e-15,1.0105030321329945e-14
