Metric,Approach NP_point,Approach NP_p5,Approach NP_p25,Approach NP_p50,Approach NP_p75,Approach NP_p95,Approach NL_point,Approach NL_p5,Approach NL_p25,Approach NL_p50,Approach NL_p75,Approach NL_p95,Approach QP_point,Approach QP_p5,Approach QP_p25,Approach QP_p50,Approach QP_p75,Approach QP_p95,Approach QL_point,Approach QL_p5,Approach QL_p25,Approach QL_p50,Approach QL_p75,Approach QL_p95,Approach PP_point,Approach PP_p5,Approach PP_p25,Approach PP_p50,Approach PP_p75,Approach PP_p95,Approach PL_point,Approach PL_p5,Approach PL_p25,Approach PL_p50,Approach PL_p75,Approach PL_p95,Approach DP_point,Approach DP_p5,Approach DP_p25,Approach DP_p50,Approach DP_p75,Approach DP_p95,Approach DL_point,Approach DL_p5,Approach DL_p25,Approach DL_p50,Approach DL_p75,Approach DL_p95
Var(k)/Var(Δy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Var(GDP_trend)/Var(Δy),0.10382283322159638,0.06483661917328049,0.0756233412293108,0.08695516695149137,0.09415948167060836,0.10947667536942093,0.08740998496107467,0.22131904076095427,0.2675803070551098,0.2771082835057713,0.3070581306755359,0.355793245573525,0.10382283322164723,0.06483661917330333,0.07562334122929783,0.08695516695150393,0.09415948167061472,0.10947667536944919,0.08740998496110011,0.22131904076095701,0.26758030705513525,0.2771082835057586,0.30705813067554866,0.355793245573539,0.10382283322159637,0.06483661917328483,0.07562334122932356,0.08695516695150313,0.09415948167063377,0.10947667536944636,0.08740998496110011,0.22131904076096823,0.26758030705511615,0.27710828350577144,0.3070581306755613,0.3557932455735504,0.10382283322160263,0.06483661917327777,0.0756233412293179,0.08695516695148764,0.09415948167059371,0.10947667536942342,0.08740998496107709,0.22131904076095554,0.26758030705509284,0.27710828350576266,0.3070581306755452,0.355793245573526
Var(h(T))/Var(Δy),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04738289938101167,0.03370235117600855,0.09185557379744234,0.17034063423146878,0.44387637544287195,0.7278650373486516,0.06835621453116258,0.06853763603559275,0.1511038274397892,0.2551556172953298,0.5212889964322889,0.8931417133085964,0.04705907832724947,0.014938189384392979,0.039769277307117726,0.08032568901426693,0.15166308865382427,0.3416163168690708,0.07546402665938753,0.02607361437283594,0.05961226660929283,0.10821347954454215,0.21914695963271916,0.46231777989909933,0.000904938691858302,0.0005320601046746036,0.0007997219478701025,0.002525484884847445,0.0034270885913663266,0.005268890533906927,0.0008553389960417225,0.00020420692633782886,0.0007020766614637734,0.001143504061929933,0.0017757203306548778,0.0034161376122444627
Var(h(T_trend))/Var(Δy),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468188132778745,0.07142641991298404,0.14162860759864843,0.24204188699902485,0.7040475197303366,1.9195995104812442,0.06749159743076555,0.06757599383231154,0.15125248022594018,0.2516777262790536,0.5203021730275472,0.8848289470308984,0.0464387355375657,0.021122391662392458,0.07920315353128878,0.12470292871994632,0.18826771681250137,0.3699444833585002,0.07465794686338349,0.02570614934329717,0.059244407607891666,0.10692455256270275,0.2172407183121003,0.46084536266558124,6.044804145649654e-06,0.00021106571973439543,0.00043425931438326057,0.0011917623280935713,0.0016970918730129351,0.0021678218542376454,5.350203876941946e-06,0.0001728932920249038,0.00047144929147234163,0.0009178877242291263,0.0012187386411818368,0.002607944189648641
Var(ε)/Var(Δy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2Cov(k,GDP_trend)/Var(Δy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2Cov(k,h(T))/Var(Δy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-2Cov(k,h(T_trend))/Var(Δy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2Cov(k,ε)/Var(Δy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2Cov(GDP_trend,h(T))/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004340127845683144,-0.052195354341501125,-0.025636045642984117,-0.00476676416324656,0.01587734745714666,0.03684683892916554,0.006764266846226885,-0.08241971824520665,-0.0448610957443,-0.005147283357983147,0.031037003028495325,0.04988276004654785,0.002570128908460347,-0.012505075387287895,-0.005219121304167404,0.004763362850004687,0.01439720193163655,0.03192036337558052,0.010196300732473917,-0.01813261707225467,-0.004718298085673066,0.012232504921038813,0.026857506346925776,0.04770265330999466,0.00021471583737527592,-0.0005594604808428741,0.00046280517965839645,0.0009975414455679714,0.002076577343222824,0.0028696152898501893,3.977229348584476e-05,-0.0013371060803183173,-0.000684838682763212,0.00032472397270674465,0.0009925574268128297,0.002711369335194393
"-2Cov(GDP_trend,h(T_trend))/Var(Δy)",-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.004072728775669454,-0.037266680804879604,-0.014489485123852858,0.0077190354911603615,0.026624566378575052,0.04329076373544656,-0.006862485635008729,-0.04971919594153875,-0.031189485397453642,0.00533381411401147,0.044766521096365114,0.08198425975537586,-0.0022703725045467864,-0.03275775142534569,-0.013315563564012318,-0.0033924306339021236,0.005704953623668048,0.014925328295882953,-0.01027758574842027,-0.04778885711765328,-0.026908400394685967,-0.012430556418484014,0.0045880023160349516,0.01794049140860856,-0.00022597452858495693,-0.002580238385044749,-0.002012650638021781,-0.0008296932013561493,-0.00020821681282162614,0.0014539175475870164,-0.00020134517909184416,-0.002595034663116282,-0.0017917315376119593,-0.0008029745181986892,-0.0003501256749339399,0.00044645080618658703
"2Cov(GDP_trend,ε)/Var(Δy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-2Cov(h(T),h(T_trend))/Var(Δy)",-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0936368440363339,-0.9535831655978309,-0.5144644453105112,-0.21279992832519765,-0.11275708143348877,-0.04540109091819534,-0.13508030807845353,-1.7759889953048456,-1.0401975659711309,-0.5059622604627771,-0.30144548141107946,-0.13563950369050018,-0.09288621900194483,-0.39538265567845,-0.1892067186047514,-0.08454716842640303,-0.04814580892535739,-0.017302009142547807,-0.14927594548567233,-0.9211015031259324,-0.4354873894771486,-0.21457774986255335,-0.1185674281754616,-0.05165851310313069,-9.454414969345305e-06,-0.0032228906487159,-0.002801219860640133,-0.0020058151434442185,-0.0005751999997808994,-0.0003154051256841043,-1.0208617482024636e-05,-0.00491804393286536,-0.0022166804298627625,-0.0015721311166703481,-0.0008759083214459615,-0.0002816453866595495
"2Cov(h(T),ε)/Var(Δy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-2Cov(h(T_trend),ε)/Var(Δy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
