percentile,iso3,h_T_delta_cum_2022,target_percentile_value
min,SDN,-0.6788869199999998,-0.6788869199999998
5,FIN,-0.38153062,-0.38207588849999996
25,SLE,-0.17053481000000004,-0.17175945500000003
50,CAF,-0.08614664999999988,-0.08630589499999992
75,LUX,-0.02742293999999986,-0.027097609999999855
95,CHL,0.05458367000000007,0.055932334499999604
max,MNG,0.3210882900000001,0.3210882900000001
