# Input data: Maddison_CRU_dataset.csv
# Baseline values at T_loess(1961) for cumulative effects
iteration,approach,iso3,T_loess_base,h_T_baseline
-1,Approach1J,AFG,12.012363795722562,0.056952688273491404
0,Approach1J,AFG,12.012363795722562,0.06581135436631336
1,Approach1J,AFG,12.012363795722562,0.043202099922802106
2,Approach1J,AFG,12.012363795722562,0.017723957293792145
3,Approach1J,AFG,12.012363795722562,0.04123613651959782
4,Approach1J,AFG,12.012363795722562,0.06903553865816614
5,Approach1J,AFG,12.012363795722562,0.059766846000303596
6,Approach1J,AFG,12.012363795722562,0.07571276455813786
7,Approach1J,AFG,12.012363795722562,0.0633135928290808
8,Approach1J,AFG,12.012363795722562,0.055598578878891025
9,Approach1J,AFG,12.012363795722562,0.06263747652026577
10,Approach1J,AFG,12.012363795722562,0.07013232523045129
11,Approach1J,AFG,12.012363795722562,0.05665107221897111
12,Approach1J,AFG,12.012363795722562,0.03415477386965843
13,Approach1J,AFG,12.012363795722562,0.06340654865760648
14,Approach1J,AFG,12.012363795722562,0.07794942836178337
15,Approach1J,AFG,12.012363795722562,0.05097366586654073
16,Approach1J,AFG,12.012363795722562,0.06384135235448864
17,Approach1J,AFG,12.012363795722562,0.12679959387163636
18,Approach1J,AFG,12.012363795722562,0.08022394407366454
19,Approach1J,AFG,12.012363795722562,0.05378347027710896
20,Approach1J,AFG,12.012363795722562,0.033320565272104676
21,Approach1J,AFG,12.012363795722562,0.08097724059319363
22,Approach1J,AFG,12.012363795722562,0.027133940881259887
23,Approach1J,AFG,12.012363795722562,0.09931227604477419
24,Approach1J,AFG,12.012363795722562,0.05075514671684872
25,Approach1J,AFG,12.012363795722562,0.06553290054938395
26,Approach1J,AFG,12.012363795722562,0.12461572142772673
27,Approach1J,AFG,12.012363795722562,0.0531370229155147
28,Approach1J,AFG,12.012363795722562,0.10493519637416428
29,Approach1J,AFG,12.012363795722562,0.07143462094206285
30,Approach1J,AFG,12.012363795722562,0.06383318340265712
31,Approach1J,AFG,12.012363795722562,0.058728570316196535
32,Approach1J,AFG,12.012363795722562,0.06771905446062848
33,Approach1J,AFG,12.012363795722562,0.06183017598202888
34,Approach1J,AFG,12.012363795722562,0.1075764705563208
35,Approach1J,AFG,12.012363795722562,0.07107218853558454
36,Approach1J,AFG,12.012363795722562,0.05730422925639339
37,Approach1J,AFG,12.012363795722562,0.0643235197804274
38,Approach1J,AFG,12.012363795722562,0.056896240295823436
39,Approach1J,AFG,12.012363795722562,0.08892971203964081
40,Approach1J,AFG,12.012363795722562,0.08436591291275515
41,Approach1J,AFG,12.012363795722562,0.03083461579729624
42,Approach1J,AFG,12.012363795722562,0.06591449628410946
43,Approach1J,AFG,12.012363795722562,0.054575473640779235
44,Approach1J,AFG,12.012363795722562,0.06478077222816268
45,Approach1J,AFG,12.012363795722562,0.05792259887054312
46,Approach1J,AFG,12.012363795722562,0.05579415308679586
47,Approach1J,AFG,12.012363795722562,0.04728407025542867
48,Approach1J,AFG,12.012363795722562,0.09267770845245181
49,Approach1J,AFG,12.012363795722562,0.05261223685256042
50,Approach1J,AFG,12.012363795722562,0.04843708247614453
51,Approach1J,AFG,12.012363795722562,0.05196422104526125
52,Approach1J,AFG,12.012363795722562,0.03126933992732128
53,Approach1J,AFG,12.012363795722562,0.05714593416168952
54,Approach1J,AFG,12.012363795722562,0.06915424533943151
55,Approach1J,AFG,12.012363795722562,0.09442441338889491
56,Approach1J,AFG,12.012363795722562,0.07067931889720341
57,Approach1J,AFG,12.012363795722562,0.076048071745326
58,Approach1J,AFG,12.012363795722562,0.03274405694945368
59,Approach1J,AFG,12.012363795722562,0.09819685192524989
-1,Approach1J,AGO,21.281411306000276,0.0462183314088177
0,Approach1J,AGO,21.281411306000276,0.06167465228846811
1,Approach1J,AGO,21.281411306000276,0.02491989222185871
2,Approach1J,AGO,21.281411306000276,0.010687702516758366
3,Approach1J,AGO,21.281411306000276,0.010888865075650456
4,Approach1J,AGO,21.281411306000276,0.07714469234978255
5,Approach1J,AGO,21.281411306000276,0.05625141106653167
6,Approach1J,AGO,21.281411306000276,0.09392257895541106
7,Approach1J,AGO,21.281411306000276,0.017884322278448772
8,Approach1J,AGO,21.281411306000276,0.06163564000126916
9,Approach1J,AGO,21.281411306000276,0.0516940817910351
10,Approach1J,AGO,21.281411306000276,0.041382621614626136
11,Approach1J,AGO,21.281411306000276,0.02534292762332571
12,Approach1J,AGO,21.281411306000276,0.011021854491025926
13,Approach1J,AGO,21.281411306000276,0.07680145319369316
14,Approach1J,AGO,21.281411306000276,0.05335425599279542
15,Approach1J,AGO,21.281411306000276,0.08472741352702921
16,Approach1J,AGO,21.281411306000276,0.05511793713645305
17,Approach1J,AGO,21.281411306000276,0.11364370786385075
18,Approach1J,AGO,21.281411306000276,0.09095020269992804
19,Approach1J,AGO,21.281411306000276,0.03837954072895161
20,Approach1J,AGO,21.281411306000276,0.009145456995599141
21,Approach1J,AGO,21.281411306000276,0.044736897997367936
22,Approach1J,AGO,21.281411306000276,0.0020672997689422518
23,Approach1J,AGO,21.281411306000276,0.12422645046968298
24,Approach1J,AGO,21.281411306000276,0.027899011242630445
25,Approach1J,AGO,21.281411306000276,0.05635104179276568
26,Approach1J,AGO,21.281411306000276,0.12586185828349267
27,Approach1J,AGO,21.281411306000276,0.049610480285487896
28,Approach1J,AGO,21.281411306000276,0.1254140959768794
29,Approach1J,AGO,21.281411306000276,0.05480309202261091
30,Approach1J,AGO,21.281411306000276,0.04134030464852531
31,Approach1J,AGO,21.281411306000276,0.03144559419190532
32,Approach1J,AGO,21.281411306000276,0.06254036897331447
33,Approach1J,AGO,21.281411306000276,0.04215262275160023
34,Approach1J,AGO,21.281411306000276,0.13596195752753962
35,Approach1J,AGO,21.281411306000276,0.08197312100387324
36,Approach1J,AGO,21.281411306000276,0.029237965972838897
37,Approach1J,AGO,21.281411306000276,0.05790433581650242
38,Approach1J,AGO,21.281411306000276,0.036229725572552246
39,Approach1J,AGO,21.281411306000276,0.09544826082825597
40,Approach1J,AGO,21.281411306000276,0.0918938020695147
41,Approach1J,AGO,21.281411306000276,0.01592007072221173
42,Approach1J,AGO,21.281411306000276,0.07017291344654078
43,Approach1J,AGO,21.281411306000276,0.059580900849716026
44,Approach1J,AGO,21.281411306000276,0.09309865253510177
45,Approach1J,AGO,21.281411306000276,0.05250740624108702
46,Approach1J,AGO,21.281411306000276,0.0443666889075677
47,Approach1J,AGO,21.281411306000276,0.038099490768034
48,Approach1J,AGO,21.281411306000276,0.10592739773745202
49,Approach1J,AGO,21.281411306000276,0.026807234787677797
50,Approach1J,AGO,21.281411306000276,0.047482667867022654
51,Approach1J,AGO,21.281411306000276,0.03213126662167315
52,Approach1J,AGO,21.281411306000276,0.04611016919677935
53,Approach1J,AGO,21.281411306000276,0.005039195865197826
54,Approach1J,AGO,21.281411306000276,0.07154548710177457
55,Approach1J,AGO,21.281411306000276,0.08005103215013298
56,Approach1J,AGO,21.281411306000276,0.051728304863542934
57,Approach1J,AGO,21.281411306000276,0.09746265049054412
58,Approach1J,AGO,21.281411306000276,0.01372686773279548
59,Approach1J,AGO,21.281411306000276,0.08495265218881448
-1,Approach1J,ALB,12.084570090816552,0.05705314891786114
0,Approach1J,ALB,12.084570090816552,0.06596401198981794
1,Approach1J,ALB,12.084570090816552,0.043233452725169284
2,Approach1J,ALB,12.084570090816552,0.017738873168172103
3,Approach1J,ALB,12.084570090816552,0.04120901200033691
4,Approach1J,ALB,12.084570090816552,0.06925074179468682
5,Approach1J,ALB,12.084570090816552,0.05990655015928101
6,Approach1J,ALB,12.084570090816552,0.07598999371513611
7,Approach1J,ALB,12.084570090816552,0.06327710242529225
8,Approach1J,ALB,12.084570090816552,0.05576971115749295
9,Approach1J,ALB,12.084570090816552,0.06275177970908832
10,Approach1J,ALB,12.084570090816552,0.07018733054182996
