# Input data: Maddison_CRU_dataset.csv
# Baseline values at T_loess(1961) for cumulative effects
iteration,approach,iso3,T_loess_base,h_T_baseline
-1,approach0,AFG,12.012363795722562,0.056952688273491404
0,approach0,AFG,12.012363795722562,0.06581135436631336
1,approach0,AFG,12.012363795722562,0.043202099922802106
2,approach0,AFG,12.012363795722562,0.017723957293792145
3,approach0,AFG,12.012363795722562,0.04123613651959782
4,approach0,AFG,12.012363795722562,0.06903553865816614
5,approach0,AFG,12.012363795722562,0.059766846000303596
6,approach0,AFG,12.012363795722562,0.07571276455813786
7,approach0,AFG,12.012363795722562,0.0633135928290808
8,approach0,AFG,12.012363795722562,0.055598578878891025
9,approach0,AFG,12.012363795722562,0.06263747652026577
10,approach0,AFG,12.012363795722562,0.07013232523045129
11,approach0,AFG,12.012363795722562,0.05665107221897111
12,approach0,AFG,12.012363795722562,0.03415477386965843
13,approach0,AFG,12.012363795722562,0.06340654865760648
14,approach0,AFG,12.012363795722562,0.07794942836178337
15,approach0,AFG,12.012363795722562,0.05097366586654073
16,approach0,AFG,12.012363795722562,0.06384135235448864
17,approach0,AFG,12.012363795722562,0.12679959387163636
18,approach0,AFG,12.012363795722562,0.08022394407366454
19,approach0,AFG,12.012363795722562,0.05378347027710896
20,approach0,AFG,12.012363795722562,0.033320565272104676
21,approach0,AFG,12.012363795722562,0.08097724059319363
22,approach0,AFG,12.012363795722562,0.027133940881259887
23,approach0,AFG,12.012363795722562,0.09931227604477419
24,approach0,AFG,12.012363795722562,0.05075514671684872
25,approach0,AFG,12.012363795722562,0.06553290054938395
26,approach0,AFG,12.012363795722562,0.12461572142772673
27,approach0,AFG,12.012363795722562,0.0531370229155147
28,approach0,AFG,12.012363795722562,0.10493519637416428
29,approach0,AFG,12.012363795722562,0.07143462094206285
30,approach0,AFG,12.012363795722562,0.06383318340265712
31,approach0,AFG,12.012363795722562,0.058728570316196535
32,approach0,AFG,12.012363795722562,0.06771905446062848
33,approach0,AFG,12.012363795722562,0.06183017598202888
34,approach0,AFG,12.012363795722562,0.1075764705563208
35,approach0,AFG,12.012363795722562,0.07107218853558454
36,approach0,AFG,12.012363795722562,0.05730422925639339
37,approach0,AFG,12.012363795722562,0.0643235197804274
38,approach0,AFG,12.012363795722562,0.056896240295823436
39,approach0,AFG,12.012363795722562,0.08892971203964081
40,approach0,AFG,12.012363795722562,0.08436591291275515
41,approach0,AFG,12.012363795722562,0.03083461579729624
42,approach0,AFG,12.012363795722562,0.06591449628410946
43,approach0,AFG,12.012363795722562,0.054575473640779235
44,approach0,AFG,12.012363795722562,0.06478077222816268
45,approach0,AFG,12.012363795722562,0.05792259887054312
46,approach0,AFG,12.012363795722562,0.05579415308679586
47,approach0,AFG,12.012363795722562,0.04728407025542867
48,approach0,AFG,12.012363795722562,0.09267770845245181
49,approach0,AFG,12.012363795722562,0.05261223685256042
-1,approach0,AGO,21.281411306000276,0.0462183314088177
0,approach0,AGO,21.281411306000276,0.06167465228846811
1,approach0,AGO,21.281411306000276,0.02491989222185871
2,approach0,AGO,21.281411306000276,0.010687702516758366
3,approach0,AGO,21.281411306000276,0.010888865075650456
4,approach0,AGO,21.281411306000276,0.07714469234978255
5,approach0,AGO,21.281411306000276,0.05625141106653167
6,approach0,AGO,21.281411306000276,0.09392257895541106
7,approach0,AGO,21.281411306000276,0.017884322278448772
8,approach0,AGO,21.281411306000276,0.06163564000126916
9,approach0,AGO,21.281411306000276,0.0516940817910351
10,approach0,AGO,21.281411306000276,0.041382621614626136
11,approach0,AGO,21.281411306000276,0.02534292762332571
12,approach0,AGO,21.281411306000276,0.011021854491025926
13,approach0,AGO,21.281411306000276,0.07680145319369316
14,approach0,AGO,21.281411306000276,0.05335425599279542
15,approach0,AGO,21.281411306000276,0.08472741352702921
16,approach0,AGO,21.281411306000276,0.05511793713645305
17,approach0,AGO,21.281411306000276,0.11364370786385075
18,approach0,AGO,21.281411306000276,0.09095020269992804
19,approach0,AGO,21.281411306000276,0.03837954072895161
20,approach0,AGO,21.281411306000276,0.009145456995599141
21,approach0,AGO,21.281411306000276,0.044736897997367936
22,approach0,AGO,21.281411306000276,0.0020672997689422518
23,approach0,AGO,21.281411306000276,0.12422645046968298
24,approach0,AGO,21.281411306000276,0.027899011242630445
25,approach0,AGO,21.281411306000276,0.05635104179276568
26,approach0,AGO,21.281411306000276,0.12586185828349267
27,approach0,AGO,21.281411306000276,0.049610480285487896
28,approach0,AGO,21.281411306000276,0.1254140959768794
29,approach0,AGO,21.281411306000276,0.05480309202261091
30,approach0,AGO,21.281411306000276,0.04134030464852531
31,approach0,AGO,21.281411306000276,0.03144559419190532
32,approach0,AGO,21.281411306000276,0.06254036897331447
33,approach0,AGO,21.281411306000276,0.04215262275160023
34,approach0,AGO,21.281411306000276,0.13596195752753962
35,approach0,AGO,21.281411306000276,0.08197312100387324
36,approach0,AGO,21.281411306000276,0.029237965972838897
37,approach0,AGO,21.281411306000276,0.05790433581650242
38,approach0,AGO,21.281411306000276,0.036229725572552246
39,approach0,AGO,21.281411306000276,0.09544826082825597
40,approach0,AGO,21.281411306000276,0.0918938020695147
41,approach0,AGO,21.281411306000276,0.01592007072221173
42,approach0,AGO,21.281411306000276,0.07017291344654078
43,approach0,AGO,21.281411306000276,0.059580900849716026
44,approach0,AGO,21.281411306000276,0.09309865253510177
45,approach0,AGO,21.281411306000276,0.05250740624108702
46,approach0,AGO,21.281411306000276,0.0443666889075677
47,approach0,AGO,21.281411306000276,0.038099490768034
48,approach0,AGO,21.281411306000276,0.10592739773745202
49,approach0,AGO,21.281411306000276,0.026807234787677797
-1,approach0,ALB,12.084570090816552,0.05705314891786114
0,approach0,ALB,12.084570090816552,0.06596401198981794
1,approach0,ALB,12.084570090816552,0.043233452725169284
2,approach0,ALB,12.084570090816552,0.017738873168172103
3,approach0,ALB,12.084570090816552,0.04120901200033691
4,approach0,ALB,12.084570090816552,0.06925074179468682
5,approach0,ALB,12.084570090816552,0.05990655015928101
6,approach0,ALB,12.084570090816552,0.07598999371513611
7,approach0,ALB,12.084570090816552,0.06327710242529225
8,approach0,ALB,12.084570090816552,0.05576971115749295
9,approach0,ALB,12.084570090816552,0.06275177970908832
10,approach0,ALB,12.084570090816552,0.07018733054182996
11,approach0,ALB,12.084570090816552,0.05665974022751533
12,approach0,ALB,12.084570090816552,0.03414116730209235
13,approach0,ALB,12.084570090816552,0.0636305112783787
14,approach0,ALB,12.084570090816552,0.07804311773604329
15,approach0,ALB,12.084570090816552,0.05125539021351685
16,approach0,ALB,12.084570090816552,0.0639686030073918
17,approach0,ALB,12.084570090816552,0.1270707823404862
18,approach0,ALB,12.084570090816552,0.08047978794249114
19,approach0,ALB,12.084570090816552,0.053855042244094556
20,approach0,ALB,12.084570090816552,0.03330018152905263
21,approach0,ALB,12.084570090816552,0.08102728227203279
22,approach0,ALB,12.084570090816552,0.027093542559250096
23,approach0,ALB,12.084570090816552,0.099680466125186
24,approach0,ALB,12.084570090816552,0.05078588689302772
25,approach0,ALB,12.084570090816552,0.06566251734813877
26,approach0,ALB,12.084570090816552,0.12494494494311593
27,approach0,ALB,12.084570090816552,0.053259455812044804
28,approach0,ALB,12.084570090816552,0.10529837332470296
29,approach0,ALB,12.084570090816552,0.07154661452081044
30,approach0,ALB,12.084570090816552,0.06389950295392285
31,approach0,ALB,12.084570090816552,0.05876044051552328
32,approach0,ALB,12.084570090816552,0.06787205840584988
33,approach0,ALB,12.084570090816552,0.06190374609786505
34,approach0,ALB,12.084570090816552,0.10798148384716498
35,approach0,ALB,12.084570090816552,0.07130503179410025
36,approach0,ALB,12.084570090816552,0.0573289345720103
37,approach0,ALB,12.084570090816552,0.06446221582499534
38,approach0,ALB,12.084570090816552,0.05695261893075562
39,approach0,ALB,12.084570090816552,0.08918955766005832
40,approach0,ALB,12.084570090816552,0.08461836813080834
41,approach0,ALB,12.084570090816552,0.030848738909738004
42,approach0,ALB,12.084570090816552,0.066104558048807
43,approach0,ALB,12.084570090816552,0.054739384742255356
44,approach0,ALB,12.084570090816552,0.06507431713339062
45,approach0,ALB,12.084570090816552,0.058049108605341376
