# k(t) scatter data
year,k_ApproachQJ,k_ApproachQP
1961,-0.09251083,-0.09191307
46,GIN,0.03513013,0.03536926,-0.00007664,-0.00007646,0.00004534,0.00004471
47,GMB,0.04069364,0.04116376,-0.00029727,-0.00029687,0.00005809,0.00005669
48,GNB,0.02891815,0.02941900,-0.00071704,-0.00071686,0.00008670,0.00008522
49,GNQ,0.10463908,0.10547580,-0.00130783,-0.00130776,-0.00009095,-0.00009342
50,GRC,0.00861309,0.00889514,-0.00153838,-0.00154139,0.00005121,0.00005031
51,GTM,0.01770068,0.01795339,-0.00059556,-0.00059568,0.00005593,0.00005528
52,HKG,0.04702187,0.04797208,-0.00154095,-0.00154274,0.00002386,0.00002096
53,HND,0.02968256,0.02971651,-0.00035211,-0.00035179,0.00003344,0.00003348
54,HRV,0.00143816,0.00121950,-0.00089085,-0.00089372,0.00008272,0.00008336
55,HTI,0.02164903,0.02185944,-0.00035877,-0.00035881,0.00001448,0.00001395
56,HUN,0.01300227,0.01256454,-0.00039677,-0.00040033,0.00004970,0.00005096
57,IDN,0.06680793,0.06694079,-0.00020712,-0.00020693,0.00000373,0.00000349
58,IND,0.05478268,0.05533730,0.00034313,0.00034292,0.00001965,0.00001807
59,IRL,0.04208792,0.04228568,-0.00080367,-0.00080315,-0.00000531,-0.00000588
60,IRN,0.01189575,0.01226804,-0.00076376,-0.00076480,0.00005435,0.00005317
61,IRQ,0.00685722,0.00801101,0.00032745,0.00032567,0.00008147,0.00007778
62,ISL,0.05582041,0.05471567,-0.00131275,-0.00131221,0.00002872,0.00003208
63,ISR,0.01088924,0.01156641,-0.00102319,-0.00102453,0.00006130,0.00005914
64,ITA,0.00814898,0.00822949,-0.00132314,-0.00132467,0.00003832,0.00003814
65,JAM,0.03329958,0.03336492,-0.00063683,-0.00063689,0.00003668,0.00003661
66,JOR,0.01523200,0.01588069,-0.00095669,-0.00095821,0.00001024,0.00000816
67,JPN,0.00937974,0.00933199,-0.00192124,-0.00192169,0.00006298,0.00006318
68,KEN,0.03410203,0.03413125,-0.00021746,-0.00021701,0.00003889,0.00003895
69,KHM,0.05544331,0.05554584,0.00027273,0.00027277,0.00002401,0.00002379
70,KOR,0.05470156,0.05468640,-0.00157380,-0.00157392,-0.00000571,-0.00000563
71,KWT,0.05451320,0.05582954,0.00124480,0.00124241,-0.00003852,-0.00004265
72,LAO,0.05460152,0.05482063,0.00031835,0.00031818,0.00000706,0.00000648
73,LBN,0.01774320,0.01809099,-0.00022856,-0.00022998,-0.00002774,-0.00002892
74,LBR,-0.03732275,-0.03686755,-0.00042399,-0.00042382,0.00013592,0.00013463
75,LBY,0.02795930,0.02803589,-0.00260625,-0.00260630,0.00007483,0.00007469
76,LKA,0.07565578,0.07559534,-0.00020097,-0.00020050,-0.00001741,-0.00001707
77,LSO,0.00855928,0.00863004,-0.00123354,-0.00123383,0.00002763,0.00002748
78,LUX,0.02669364,0.02652696,-0.00108834,-0.00108951,0.00000230,0.00000270
79,MAR,0.01822309,0.01848657,-0.00050410,-0.00050423,0.00001593,0.00001517
80,MDG,-0.00049091,0.00003598,-0.00017673,-0.00017658,0.00004386,0.00004235
81,MEX,0.02092481,0.02159031,-0.00089400,-0.00089530,0.00003299,0.00003103
82,MKD,-0.00257431,-0.00313356,-0.00114383,-0.00114690,0.00008684,0.00008859
83,MLI,0.05940034,0.05904887,-0.00036107,-0.00036013,0.00002279,0.00002400
84,MLT,0.04593952,0.04610411,-0.00110795,-0.00110774,0.00001078,0.00001036
85,MMR,0.05076511,0.05090912,0.00008892,0.00008905,-0.00000321,-0.00000353
86,MNE,0.01061544,0.01006762,-0.00064682,-0.00064998,0.00009124,0.00009293
87,MNG,0.09821237,0.09778640,-0.00013539,-0.00013688,0.00000437,0.00000552
88,MOZ,-0.01131254,-0.01122513,-0.00047564,-0.00047511,0.00007862,0.00007847
89,MRT,0.05690663,0.05693028,-0.00051682,-0.00051618,0.00005562,0.00005564
90,MUS,0.04168513,0.04231953,-0.00061211,-0.00061284,0.00001358,0.00001171
91,MWI,0.01383707,0.01363823,-0.00060986,-0.00060895,0.00003924,0.00003997
92,MYS,0.07351295,0.07347139,-0.00060241,-0.00060211,0.00000527,0.00000555
93,NAM,0.00251750,0.00253991,-0.00059061,-0.00059018,0.00003923,0.00003928
94,NER,0.01821470,0.01792982,0.00001432,0.00001497,0.00007761,0.00007858
95,NGA,0.06012976,0.06029679,-0.00015254,-0.00015221,0.00001184,0.00001144
96,NIC,0.01411235,0.01390064,-0.00008271,-0.00008211,0.00008507,0.00008587
97,NLD,0.01778359,0.01765415,-0.00094523,-0.00094604,0.00002647,0.00002672
98,NOR,0.09347171,0.09224940,-0.00115763,-0.00115771,-0.00000602,-0.00000230
99,NPL,0.01650857,0.01652170,-0.00008318,-0.00008356,0.00002171,0.00002176
100,NZL,0.00724915,0.00716865,-0.00052440,-0.00052478,0.00003125,0.00003155
101,OMN,0.09507824,0.09556635,-0.00166359,-0.00166371,0.00001702,0.00001561
102,PAK,0.02824141,0.02869597,-0.00063094,-0.00063192,0.00002362,0.00002226
103,PAN,0.05041576,0.05052499,-0.00041878,-0.00041866,0.00004842,0.00004821
104,PER,0.00294031,0.00312364,-0.00015742,-0.00015696,0.00005889,0.00005840
105,PHL,0.04412761,0.04409579,-0.00009538,-0.00009500,0.00004373,0.00004397
106,POL,0.02289329,0.02223647,-0.00024849,-0.00025061,0.00005177,0.00005358
107,PRT,0.01478336,0.01498420,-0.00136202,-0.00136219,0.00004425,0.00004371
108,PRY,0.03317352,0.03422449,-0.00072303,-0.00072255,0.00003341,0.00003016
109,QAT,0.06358533,0.06518564,0.00148585,0.00148387,-0.00000294,-0.00000793
110,ROU,0.02100912,0.02021140,-0.00028911,-0.00029296,0.00006196,0.00006432
111,RUS,0.10517757,0.10338198,-0.00113194,-0.00113353,0.00005399,0.00005942
112,RWA,-0.00889118,-0.00888119,0.00013270,0.00013312,0.00006386,0.00006397
113,SAU,0.04444890,0.04550429,-0.00089809,-0.00089899,0.00007089,0.00006766
114,SDN,0.06504976,0.06427803,-0.00011845,-0.00011669,-0.00004260,-0.00004015
115,SEN,0.03967090,0.04010632,0.00007338,0.00007367,0.00004662,0.00004534
116,SGP,0.09072209,0.09069148,-0.00104865,-0.00104822,0.00000964,0.00000987
117,SLE,0.02211910,0.02231966,-0.00042282,-0.00042266,0.00006459,0.00006410
118,SLV,0.03791315,0.03780489,-0.00018075,-0.00018019,0.00003164,0.00003212
119,SRB,-0.00486538,-0.00545468,-0.00074662,-0.00075047,0.00010211,0.00010385
120,SVN,0.00667189,0.00617086,-0.00128003,-0.00128297,0.00007597,0.00007744
121,SWE,0.04588946,0.04508142,-0.00106441,-0.00106392,0.00003370,0.00003586
122,SWZ,0.03440437,0.03455517,-0.00146876,-0.00146888,0.00005372,0.00005334
123,SYC,0.08011949,0.08065381,-0.00014121,-0.00014120,-0.00000895,-0.00001049
124,SYR,-0.01276736,-0.01212175,-0.00251547,-0.00251697,0.00001506,0.00001294
125,TCD,0.05700200,0.05625881,0.00031207,0.00031320,-0.00002603,-0.00002361
126,TGO,0.02097297,0.02143494,-0.00043148,-0.00043129,0.00009444,0.00009311
127,THA,0.07539355,0.07556616,-0.00099772,-0.00099773,0.00000192,0.00000147
128,TTO,0.05032858,0.04964480,-0.00077763,-0.00077653,0.00000641,0.00000866
129,TUN,0.02865031,0.02894646,-0.00093393,-0.00093425,0.00001225,0.00001141
130,TZA,0.02801301,0.02800780,0.00021720,0.00021768,0.00003727,0.00003743
131,UGA,0.01974515,0.01905455,0.00017195,0.00017318,0.00002988,0.00003214
132,URY,0.01277675,0.01298176,-0.00022163,-0.00022156,0.00001373,0.00001318
133,USA,0.00815206,0.00832982,-0.00081134,-0.00081184,0.00003039,0.00002995
134,VEN,0.03245452,0.03261276,-0.00216635,-0.00216627,-0.00004338,-0.00004375
135,VNM,0.05549952,0.05575348,0.00064533,0.00064524,0.00000507,0.00000440
136,YEM,0.04485137,0.04489904,-0.00221817,-0.00221790,-0.00002215,-0.00002214
137,ZAF,0.00673797,0.00692834,-0.00054301,-0.00054331,0.00002867,0.00002816
138,ZMB,0.01870799,0.01822307,0.00025892,0.00026005,0.00002108,0.00002268
139,ZWE,-0.00271209,-0.00268712,-0.00092132,-0.00092077,0.00005339,0.00005339
