Approach,h1,h1_SE,h2,h2_SE,T_optimal,R_squared,Adj_R_squared,RMSE,n_obs,n_params
No Detrending,0.01406786953510132,0.002809325564686926,-0.0004953895199293286,8.930352076336496e-05,14.198796067696605,0.25762263500605,0.20411288563243446,0.0525996714417873,8479,571
Linear Temperature Detrending,0.012607049349653206,0.0029356209686943403,-0.00045309204806246546,9.026449269358156e-05,13.912238587682229,0.05979342810969135,0.04043922998843896,0.05919463019282841,8479,172
Quadratic GDP Growth Detrending,0.005866191771504711,0.002032296540097251,-0.00020034249983644562,5.819072058956363e-05,14.640407742475302,0.0014337145632249415,-0.01912182110665439,0.05488895181051415,8479,172
Combined Detrending (Mixed),0.011072335558255592,0.002719890191813747,-0.0004201329238752651,8.363120135891046e-05,13.177181469290062,0.0030475906517204443,-0.017474723300194395,0.05484457829756008,8479,172
Combined Linear Detrending,0.012411056969244872,0.0028319826580195523,-0.0004460159592708553,8.707782124095181e-05,13.913243137683242,0.003148449309142598,-0.017371788462391846,0.05710484014853257,8479,172
Combined Quadratic Detrending,0.011344442183850506,0.0027664887069330244,-0.0004344109902754245,8.534831079740337e-05,13.057268851160881,0.003128800398976006,-0.017391841846332134,0.05484234448729715,8479,172
