percentile,iso3,h_T_delta_cum_2022,target_percentile_value
min,SDN,-0.4778293193565102,-0.4778293193565102
5,TTO,-0.30417648988022905,-0.3045913952755464
25,GTM,-0.19646428673958904,-0.19651652101431769
50,PAK,-0.11393441963786179,-0.12227903221140976
75,ESP,0.022418234405890455,0.02489129993930224
95,AUT,0.2487262149525946,0.25003070092508134
max,RUS,0.6374956570294491,0.6374956570294491
