# Input data: Maddison_CRU_dataset.csv
Approach,h1,h1_SE,h2,h2_SE,T_opt,T_opt_SE,h3,h3_SE,h4,h4_SE,f1,f1_SE,T_dep_opt,f2,f2_SE,Y_ref,R_squared,Total_R_squared,Adj_R_squared,RMSE,RMS_Imbalance,RMS_h_T,Imbalance_Ratio,n_obs,n_params
0: Conjoined OLS Fit,0.00807102877765846,0.0034244384661139583,-0.00027720242122732303,0.00010265005899002023,14.558005557678227,,,,,,,,,,,,0.1863929345279196,0.1863929345279196,0.13876134635538662,0.05657475246194125,0.033735758985298105,0.039069855850703,0.8634728296467744,8680,481
approach0h0: No Climate Response (Joint),0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.1856673502562166,0.1856673502562166,0.1382035035817223,0.05659997385210653,,,,8680,479
1: Precomputed k Combined,0.006627829238296417,0.003060790860643559,-0.00021482203994184818,8.762611883301392e-05,15.426325064436021,,,,,,,,,,,,0.0006939727110314431,0.18623247489284067,0.0005788187553632529,0.05658033102496936,0.06220060598782148,0.036674878178356275,1.696000343486601,8680,2
approach1h0: No Climate Response (Precomputed k),0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.1856673502562165,0.1856673502562165,0.13788813526149102,0.056599973852106536,,,,8680,482
2: Precomputed k LOESS,0.007911756899983486,0.0031362954989210758,-0.0002574614600677053,9.010933282113982e-05,15.364934421452654,,,,,,,,,,,,0.0009430819651525812,0.18643533269182488,0.0008279567153214318,0.05657327834932607,0.06782713577621718,0.043388504942528286,1.5632512774076892,8680,2
approach2h0: No Climate Response (LOESS Precomputed k),0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.1856673502562165,0.1856673502562165,0.17990333405357428,0.056599973852106536,,,,8680,62
3: Piecewise Quadratic LOESS,0.0,0.0,-0.00018979588635545684,0.0001052807030121649,16.83484610158724,4.038993885524749,,,-0.00038536937652763214,0.00016029661755073772,,,,,,,0.0010394377821192347,0.1865137983795735,0.000809182956207577,0.05657055012844167,0.03172043050725727,0.0018248008725919081,17.382954482152485,8680,3
4: Persistence Decay LOESS,0.008273932089200636,0.002695085144210953,-0.000225924875655682,7.819958960714256e-05,18.311246305188675,,,,,,,,,,,,0.0011165965052476468,0.1865766312470295,0.0008863594639902939,0.056568365359658854,0.08698699437635436,0.0018913171588317815,45.992811924830214,8680,3
4: T/Quadratic Departure LOESS,0.009486896888282826,0.0032072795388159454,-0.0002870538816326459,9.09738672708541e-05,16.524592585763358,,0.0,0.0,0.004589364402396213,0.001966064813669122,,,-1.0335741571675479,,,,0.0015700673521722441,0.18694590736338712,0.0013399348334104388,0.05655552351220635,0.03272123808303047,0.002242721632173382,14.589968551434044,8680,3
6: Interaction Model LOESS,0.0,0.0,0.0,0.0,15.000180477839951,3.335594657490757,,,-0.0004920308101506693,0.0001788107123690337,,,,,,,0.0008716640158319411,0.18637717472391524,0.0007565305362301489,0.056575300393940986,0.03272123808303047,0.0016710551739799815,19.5811835494921,8680,2
7: Lagged Deviation LOESS,0.0,0.0,-0.0001493367387937688,0.00011826464868360381,17.166796571664708,3.7401869159863064,,,-0.00010321106141447665,8.84702262708085e-05,,,,,,,0.0010132993642679722,0.185899017400858,0.000779262419056348,0.05671622557451948,0.029092625559770352,0.0018063269142075393,16.105958080425154,8540,3
