Metric,Approach NJ_point,Approach NJ_p5,Approach NJ_p25,Approach NJ_p50,Approach NJ_p75,Approach NJ_p95,Approach QJ_point,Approach QJ_p5,Approach QJ_p25,Approach QJ_p50,Approach QJ_p75,Approach QJ_p95,Approach PJ_point,Approach PJ_p5,Approach PJ_p25,Approach PJ_p50,Approach PJ_p75,Approach PJ_p95,Approach DJ_point,Approach DJ_p5,Approach DJ_p25,Approach DJ_p50,Approach DJ_p75,Approach DJ_p95
Var(h(T))/Var(Δy),0.0,0.0,0.0,0.0,0.0,0.0,0.08708434328262639,0.05529200440077567,0.16479786018371467,0.3737773391432392,0.6566818042492983,1.2026540682991103,0.07178243562240229,0.057846890205101746,0.11878114013306923,0.34569626640999523,0.5435232102163896,0.7294908358657867,0.001212205010138548,0.0005580192669965826,0.0015558658220796438,0.003158973260707691,0.005037744935676379,0.013728738688759116
Var(j)/Var(Δy),0.15929400584918882,0.08856252829979848,0.10735814489971303,0.16226438802656046,0.18977440612687124,0.2457903843906653,0.22652245065248153,0.21759406709181017,0.3405591332350886,0.46680587022202896,0.897642167539889,1.470596867908876,0.22841939426801108,0.2279572100728617,0.2698759786577457,0.45042882616934443,0.6116537582535237,0.8401768262449241,0.15899080184646155,0.087996768324301,0.11042748193892903,0.16512397379478178,0.18676106199782502,0.2477510195113786
Var(k)/Var(Δy),0.11951981289700775,0.03744257538528961,0.0722245012248611,0.0914497390104303,0.11972990884327157,0.16540435504628517,0.11805755622039607,0.0699203211266359,0.13258336303575838,0.28782932104884384,0.646311900759079,1.378093373129784,0.11506476570864677,0.0831899296856709,0.10685095365607178,0.15001099848420912,0.22789980752722844,0.31638325292032077,0.12021799053662166,0.03865861121163329,0.07279897809903885,0.09188478254146504,0.11718617193602796,0.1702237574381849
Var(ε)/Var(Δy),0.8143326497437805,0.9118874117272917,0.9326986632896418,0.9651899479221924,1.0039524835573446,1.0940026220599535,0.8136070654720816,1.0424426506753788,1.241468680542835,1.4465918683230856,1.9430930270475333,2.6300792490049463,0.8133868128693708,0.9890184236301631,1.0590709018098734,1.2242042483843683,1.4015011020313015,1.6091155863815956,0.8132931828762734,0.9128638507094093,0.9452940804909569,0.9666770049389986,1.0040791656116619,1.094977376319902
"2Cov(h(T),j)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,-0.15643864921906062,-1.5281247893616208,-0.9851176175271308,-0.4603120184900464,-0.1874605185615817,-0.058765299940030484,-0.14656564974673558,-0.9455232685928918,-0.6887567760794375,-0.4701477187106021,-0.18309431536085669,-0.05090139105593946,0.00028095324461415734,-0.011793839923500117,-6.0418154333717305e-06,0.00019583900654679962,0.00046896467453749427,0.0017074954098280093
"2Cov(h(T),k)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,-0.004870778093729107,-0.009833664669581828,-0.0029760063716915176,-0.0008467933496906638,0.0011145097454046417,0.007535044002311294,-0.004574498114675247,-0.012547906429116929,-0.004193476119623892,-0.0012849002828979566,-6.866834161266505e-05,0.004065375274769111,-0.0009109966892028917,-0.007097423136352382,-0.001984524749699603,-0.0010097847115405644,-0.0004896568622368408,0.0010974134202219477
"2Cov(h(T),ε)/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,-5.7989474735962604e-15,-0.9212443301894585,-0.5326381050402919,-0.2668543962520576,-0.11681721757806728,-0.0358327136868941,-8.041216138388362e-15,-0.6217577199056072,-0.3718248248368045,-0.19117074936348133,-0.08470794572381948,-0.04693372460355107,-9.55202641059269e-17,-0.00972253764450486,-0.005371258304119386,-0.00248577292116817,-0.0012074454183671275,2.1971633694445588e-05
"2Cov(j,k)/Var(Δy)",-0.0931464684899772,-0.13048041904173835,-0.08952012275258284,-0.030849310284128982,-0.012823535528776955,-0.008706684093597105,-0.08396198831476583,-0.5871693204327084,-0.11075123738901206,-0.06824431253252905,-0.02614891164556475,-0.0010875681701439568,-0.07751326060702117,-0.19377535170182184,-0.12126918909373931,-0.08075408891170885,-0.0511558491246137,-0.009565177499705108,-0.09308413682487747,-0.13029935684764116,-0.08825824150862836,-0.031094673788985325,-0.01398929772674045,-0.008490354822030779
"2Cov(j,ε)/Var(Δy)",-8.743920658095425e-15,-0.2820280793400695,-0.15156553258723052,-0.1214803435464866,-0.07343720710936379,-0.04507928293799492,2.4800875784254348e-14,-1.3602427743403462,-0.5941755230046106,-0.2954388437568737,-0.13869152821994596,-0.021703508027291894,-1.3210804328976365e-14,-0.6436914019756982,-0.39355970496453,-0.19283121840947542,-0.11026467101524534,-0.07266638262161985,-4.441406520263136e-15,-0.28411908621894305,-0.15936316902714387,-0.12499481456651959,-0.07456761784862775,-0.0457488334424624
"2Cov(k,ε)/Var(Δy)",4.293420598529025e-15,-0.11549718026640844,-0.07448372572323297,-0.04295504999245463,-0.021384991471547894,-0.012127390349087358,-5.265804440662951e-14,-2.5146448810036945,-0.8160517723508635,-0.3346455904500961,-0.08561113508204882,-0.016194949074927006,5.876026649617916e-15,-0.40488786773953955,-0.23519329492282656,-0.11239557493131491,-0.06342584374806505,-0.028180503755899644,-7.945797478073532e-15,-0.12226656835224171,-0.07547701312492179,-0.04059744832746545,-0.02142549716180193,-0.01265433385357502
Sum,0.9999999999999953,0.9999999999999581,0.9999999999999813,1.0000000000000044,1.0000000000000386,1.0000000000000764,0.9999999999999962,1.0000000000000029,1.0000000000000406,1.0000000000000697,1.0000000000000957,1.000000000000134,0.9999999999999837,0.999999999999999,1.0000000000000604,1.0000000000000804,1.000000000000095,1.0000000000001459,1.0000000000000162,0.9999999999999749,0.9999999999999958,1.0000000000000098,1.0000000000000422,1.000000000000063
