Metric,Approach NP_point,Approach NP_p5,Approach NP_p25,Approach NP_p50,Approach NP_p75,Approach NP_p95,Approach NL_point,Approach NL_p5,Approach NL_p25,Approach NL_p50,Approach NL_p75,Approach NL_p95,Approach QP_point,Approach QP_p5,Approach QP_p25,Approach QP_p50,Approach QP_p75,Approach QP_p95,Approach QL_point,Approach QL_p5,Approach QL_p25,Approach QL_p50,Approach QL_p75,Approach QL_p95,Approach PP_point,Approach PP_p5,Approach PP_p25,Approach PP_p50,Approach PP_p75,Approach PP_p95,Approach PL_point,Approach PL_p5,Approach PL_p25,Approach PL_p50,Approach PL_p75,Approach PL_p95,Approach DP_point,Approach DP_p5,Approach DP_p25,Approach DP_p50,Approach DP_p75,Approach DP_p95,Approach DL_point,Approach DL_p5,Approach DL_p25,Approach DL_p50,Approach DL_p75,Approach DL_p95
Var(k)/Var(Δy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Var(GDP_trend)/Var(Δy),0.10382283322159638,0.06483661917328049,0.0756233412293108,0.08695516695149137,0.09415948167060836,0.10947667536942093,0.08740998496107467,0.22131904076095427,0.2675803070551098,0.2771082835057713,0.3070581306755359,0.355793245573525,0.10382283322164723,0.06483661917330333,0.07562334122930418,0.08695516695150393,0.09415948167061472,0.10947667536944919,0.08740998496110011,0.22131904076095701,0.26758030705513525,0.2771082835057586,0.30705813067554866,0.355793245573539,0.10382283322162178,0.06483661917328483,0.07562334122932356,0.08695516695150313,0.09415948167063377,0.10947667536944636,0.08740998496107467,0.22131904076096823,0.26758030705511615,0.27710828350577144,0.3070581306755613,0.3557932455735504,0.10382283322158474,0.06483661917328949,0.07562334122932118,0.08695516695148622,0.09415948167060002,0.10947667536942736,0.08740998496108159,0.2213190407609621,0.2675803070551015,0.27710828350576794,0.30705813067553767,0.35579324557353387
Var(h(T))/Var(Δy),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04738289938101167,0.03370235117600855,0.09185557379744234,0.17034063423146878,0.44387637544287195,0.7278650373486516,0.06835621453116258,0.06853763603559275,0.1511038274397892,0.2551556172953298,0.5212889964322889,0.8931417133085964,0.052638929374406576,0.014938189384392946,0.039769277307117726,0.08032568901426693,0.15166308865382427,0.3416163168690708,0.07544355134676253,0.026073614372835948,0.05961226660929283,0.10821347954454215,0.21914695963271916,0.46231777989909933,0.0009049386873533721,0.0003811626905599805,0.0009248984295998433,0.0017258242932018022,0.0028699886192697947,0.006403846885677821,0.0008553389962758155,0.0004517514142319355,0.001233479912113172,0.0019659624610740573,0.0028444427401711206,0.00353728113117677
Var(h(T_trend))/Var(Δy),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468188132778745,0.07142641991298404,0.14162860759864843,0.24204188699902485,0.7040475197303366,1.9195995104812442,0.06749159743076555,0.06757599383231154,0.15125248022594018,0.2516777262790536,0.5203021730275472,0.8848289470308984,0.05203383058168188,0.021122391662392458,0.07920315353128878,0.12470292871994632,0.18826771681250137,0.3699444833585002,0.07463727365909402,0.025706149343297173,0.059244407607891666,0.10692455256270275,0.2172407183121003,0.46084536266558124,6.044798647314587e-06,6.773859369074182e-07,3.021803668224257e-06,6.160292890317912e-06,2.764518660240958e-05,0.002963765149480157,5.3502041380085775e-06,0.00017825964180060786,0.0004370329568651484,0.0007807915613550372,0.001216134833747775,0.0020604937410947932
Var(ε)/Var(Δy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2Cov(k,GDP_trend)/Var(Δy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2Cov(k,h(T))/Var(Δy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-2Cov(k,h(T_trend))/Var(Δy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2Cov(k,ε)/Var(Δy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2Cov(GDP_trend,h(T))/Var(Δy)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004340127845683144,-0.052195354341501125,-0.025636045642984117,-0.00476676416324656,0.01587734745714666,0.036846838929188414,0.006764266846226885,-0.08241971824520665,-0.0448610957443,-0.005147283357983147,0.031037003028495325,0.04988276004654785,0.00781923389211996,-0.012505075387287895,-0.005219121304167404,0.004763362850004687,0.01439720193163655,0.03192036337558052,0.01018269292577394,-0.01813261707225467,-0.004718298085673061,0.012232504921038813,0.026857506346925776,0.04770265330999466,0.00021471574093519686,-0.0004305495561689596,6.600307936265863e-05,0.00012448794624254182,0.00023362483811451695,0.0005069004548127917,3.977229486786601e-05,-0.00011749719498301625,0.00014390600869312412,0.00042888352628767383,0.000811146546092206,0.00233800303575883
