# Input data: Maddison_CRU_dataset.csv
Approach,h1,h1_SE,h2,h2_SE,T_optimal,R_squared,Total_R_squared,Adj_R_squared,RMSE,RMS_Imbalance,RMS_h_T,Imbalance_Ratio,n_obs,n_params,vd_rms_dy,vd_var_h_T,vd_rms_h_T,vd_var_j,vd_rms_j,vd_var_k,vd_rms_k,vd_var_epsilon,vd_rms_epsilon,vd_cov_h_T_j,vd_cov_h_T_k,vd_cov_h_T_epsilon,vd_cov_j_k,vd_cov_j_epsilon,vd_cov_k_epsilon,vd_sum_check,vd_var_ratio_h_T,vd_var_ratio_h_Tstar,vd_var_ratio_j,vd_var_ratio_k,vd_var_ratio_cross,vd_var_h_Tstar,vd_rms_h_Tstar,vd_var_h_Ttrend,vd_rms_h_Ttrend,vd_var_h_cross,vd_rms_h_cross,vd_cov_h_Tstar_h_Ttrend,vd_cov_h_Tstar_h_cross,vd_cov_h_Tstar_j,vd_cov_h_Tstar_k,vd_cov_h_Tstar_epsilon,vd_cov_h_Ttrend_h_cross,vd_cov_h_Ttrend_j,vd_cov_h_Ttrend_k,vd_cov_h_Ttrend_epsilon,vd_cov_h_cross_j,vd_cov_h_cross_k,vd_cov_h_cross_epsilon,beta,beta_SE,Y_ref,vd_var_g_h_Tstar,vd_rms_g_h_Tstar,vd_var_g_h_Ttrend,vd_rms_g_h_Ttrend,vd_var_g_h_cross,vd_rms_g_h_cross,vd_cov_g_h_Tstar_g_h_Ttrend,vd_cov_g_h_Tstar_g_h_cross,vd_cov_g_h_Tstar_j,vd_cov_g_h_Tstar_k,vd_cov_g_h_Tstar_epsilon,vd_cov_g_h_Ttrend_g_h_cross,vd_cov_g_h_Ttrend_j,vd_cov_g_h_Ttrend_k,vd_cov_g_h_Ttrend_epsilon,vd_cov_g_h_cross_j,vd_cov_g_h_cross_k,vd_cov_g_h_cross_epsilon
Conjoined OLS Fit,0.014201645761906582,0.0030869165924838687,-0.0004340071550819509,9.920124477633649e-05,16.36107330906212,0.19624833559880805,0.19624833559880805,0.14814282006713164,0.05809821017601363,0.03471233235598518,0.08890243483343716,0.39045423695110654,9404,532,0.06480399960686628,0.1751777819482847,0.08890243483343716,0.3151083052030186,0.05730162017453985,0.12185899920893459,0.11173768538772728,0.8037516644011921,0.05809821017601363,-0.3384104857876088,-0.004593291812930078,-3.6491870597481484e-14,-0.07289297316090626,4.97985019773448e-14,1.7587660866520722e-15,0.9999999999999999,0.1751777819482847,0.1751777819482847,0.3151083052030186,0.12185899920893459,-0.41589675076142985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combined Detrending (Mixed),0.013942882387476176,0.0029366834556666358,-0.0004085191816677266,9.304475003901352e-05,17.065150197545396,0.097311977023948,0.1937889630305749,0.09122318200815671,0.058187028660157104,0.11689727520166637,0.09434962867605458,1.2389797060360266,9404,64,0.06480399960686628,,,0.10687744109925593,0.028803259017082184,0.08679278078863055,0.019091775777100355,0.9717812570335432,0.11087716895222399,,,,0.0030667409759804394,-0.0035209963904554594,-0.0008503512564516941,0.9999999999999993,0.16701381017145928,0.007687359703898854,0.10687744109925593,0.08679278078863055,-0.16689506902877083,0.007687359703898854,0.005682259188575198,0.16453105289783124,0.0943591662076145,0.006939897665497036,0.005398565114334208,0.00018011031610209422,-0.01233331600560308,0.0012660377153178204,0.0006195720622016933,-0.00025211788756313675,8.705593733123912e-06,-0.00022799523371598492,0.0008503512564515905,-0.33010127296194935,-0.0005837870671268389,-0.002794772283306212,6.330197772796618e-05,,,,,,,,,,,,,,,,,,,,,
Linear Temperature Detrending,0.015525263846372546,0.003115365930041967,-0.00045316872007555354,9.870605688927163e-05,17.12967285538169,0.09269647451111607,0.09269647451111607,0.08657654709079499,0.06172741781496475,0.12628350935364022,0.10576139060487771,1.194041687910787,9404,64,0.06480399960686628,,,0.0,0.0,0.09207983495106428,0.027756285957462847,1.114461884402996,0.1225135103261259,,,,0.0,0.0,-0.0018192187254995524,0.9999999999999998,0.20749075542770348,0.009531042277313342,0.0,0.09207983495106428,-0.2068741158676517,0.009531042277313342,0.006327066608470364,0.20441136882761118,0.1057721605959246,0.008539806103138148,0.005988607029711574,0.0002321500486126626,-0.015233929499946433,0.0,0.0016823032769640927,-0.0003366084955229081,1.0317670974562066e-05,0.0,0.0018192187254995355,-0.41156972774172323,0.0,-0.0039025825974176266,9.414077593574989e-05,,,,,,,,,,,,,,,,,,,,,
Quadratic GDP Growth Detrending,0.0001345016780290396,0.00031828405630613836,-4.530034100692612e-06,9.722248219422121e-06,14.845548073079096,0.09510159303926091,0.19181481923001786,0.08899788858117463,0.05825822548283957,0.03429573453281316,0.0006893106420721596,49.75367046374856,9404,64,0.06480399960686628,,,0.10687744109925593,0.028803259017082184,0.08493609358571542,0.018896664247894022,0.808185180769982,0.05825822548283957,,,,0.0032987862213457947,-0.003450665869395291,6.365643888052406e-16,0.9999999999999999,2.0314463690006075e-05,2.0314463690006075e-05,0.10687744109925593,0.08493609358571542,-1.9029918643484467e-05,2.0314463690006075e-05,0.0006893106420721596,0.0,0.0,0.0,0.0,0.0,0.0,0.00015187964804948628,-1.90299186442366e-05,2.818987230292451e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Combined Quadratic Detrending,0.014176960830015732,0.0030146895328079593,-0.00042404473595582714,9.686062284268302e-05,16.716350455406374,0.09728045117840756,0.19376080658673434,0.09119144351505004,0.05818804472507394,0.1150216153070956,0.09241137099388856,1.2446695040884344,9404,64,0.06480399960686628,,,0.10687744109925593,0.028803259017082184,0.08686821158547084,0.019100061056949186,0.9768062154648176,0.10922523516572262,,,,0.003218028346139809,-0.005849592734260406,-0.0007388777585466738,0.9999999999999998,0.17224153551758128,0.007361366022079033,0.10687744109925593,0.08686821158547084,-0.17222638161557371,0.007361366022079033,0.005560458076001174,0.16975146808910394,0.09241687335987438,0.006834465408733865,0.005357400150994025,0.00021227020506070648,-0.011911329527296104,2.3395114581590326e-06,0.0008863095749812627,-0.000267096428149888,-6.704680100147582e-06,0.0026230319433660798,0.0007388777585466478,-0.3403184901406557,6.192933296359978e-06,-0.0031556575764907155,6.153090318931521e-05,,,,,,,,,,,,,,,,,,,,,
Precomputed k Quadratic,0.012240773828420544,0.0028157688992907835,-0.0003524069130220679,8.722927363296958e-05,17.36738607572948,0.002061215431057861,0.1958253408853492,0.0019550743137882742,0.058113495993990336,0.10811775338630035,0.08541058628476624,1.2658589302481364,9404,2,0.06480399960686628,,,0.10393588426906358,0.020892218939372483,0.0902284557189722,0.027562825402737932,0.9329254652713022,0.10327176603313817,,,,-0.0014389081283431183,0.0028446921670149763,0.0009709813867320884,1.0000000000000002,0.13043884235750478,0.005486706001824651,0.10393588426906358,0.0902284557189722,-0.12877784146019136,0.005486706001824651,0.0048004841656957686,0.12857325073708895,0.08541658348961773,0.004720304720884436,0.004452324693478653,0.0002093705790568535,-0.00854670183591888,-1.6195159273266247e-05,0.0007730767212340802,-0.0002459328749129298,-4.087845431217996e-06,-0.002819416751788613,0.0017287826937692615,-0.25732474890426327,-9.080255953125444e-06,-0.0020339326733924026,4.203416233350577e-05,,,,,,,,,,,,,,,,,,,,,
Precomputed k LOESS,0.014978311137094021,0.0027935079499501626,-0.00046907069268030795,8.807559071485926e-05,15.965942203196215,0.0006526301653105859,0.2318641432939773,0.0005463392304206893,0.056796402725191236,0.11508123294885529,0.08937957083046144,1.2875563384293458,9404,2,0.06480399960686628,,,0.13131092337842015,0.02366481266825613,0.0902284557189722,0.027562825402737932,0.9738712315017897,0.10832385008234789,,,,-0.011978610202667222,-0.004753737090513482,0.012683234555969305,0.9999999999999997,0.2019190024824612,0.007815625028635833,0.13131092337842015,0.0902284557189722,-0.19159423828587624,0.007815625028635833,0.005732478488595088,0.19927277185017958,0.08943140326207778,0.007668363708879375,0.005675360720540275,-0.000737857407318163,-0.012943817047229174,-0.0002569411283376285,-0.0010474807425811406,0.0005888316110415416,0.0008439163493137368,0.01469134530268302,0.0004826505385791672,-0.40688553464921756,0.000142461098815181,-0.00013979414930021143,-0.000856038226114667,,,,,,,,,,,,,,,,,,,,,
GDP-Response LOESS,0.009880681358754017,0.0014983280858501477,-0.0002372911835100357,3.567892608454672e-05,20.81973972357076,0.002219460062205969,0.23306846749744559,0.0020071889123415287,0.05675186105088719,0.318235069607041,0.30196125165578386,1.0538937292848694,9404,3,0.06480399960686628,,,0.13131092337842015,0.02366481266825613,0.0902284557189722,0.027562825402737932,9.044489568369398,0.3101188261088088,,,,-0.011978610202667222,0.5334121519499478,-0.02624467195740692,0.9999999999999946,8.18991253556117,0.020636106810738273,0.13131092337842015,0.0902284557189722,-8.178383447161117,,,,,,,,,,,,,,,,,,,0.6103066761266511,0.1375718515120335,19834.649054620244,0.020636106810738273,0.009310391583958657,8.183699259620054,0.30203194070775313,0.02094524068831445,0.009378739827776126,0.019906393568671767,-0.03783835102728096,-0.0005833007972892321,0.0015435390694189587,-0.01988824051841843,-0.01743611409932735,-0.5237322063631181,0.038952453609416265,-16.463103018779254,0.0007264833931068077,-0.0022727105187611693,0.017226648087062695
