year,T_actual,T_loess,T_loess_1961,h1,h2,h4,A_T_lag,A_T2_lag,correction_T,correction_T2,X1,X2,h_T,h_T_baseline,h_T_delta,h_T_delta_cum
1961,2.9,1.24758610939626,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,0,0,1.24758610939626,1.55647110035849,1.65241389060374,6.85352889964151,0.0117626404568788,0,0.0117626404568788,0.0117626404568788
1962,0.9,1.24521262248004,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,2.9,8.41,0.455550814842049,0.568338868721086,-1.39662802539126,-5.0974627793138,-0.0100906123746701,0,-0.0100906123746701,0.00167202808220874
1963,1.2,1.24588351399669,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,1.95892278945079,3.88087608940728,0.166342461927283,0.207526544903254,-0.209972842921538,-1.23131707082501,-0.00141754638809395,0,-0.00141754638809395,0.000254481694114787
1964,1.8,1.24939800937314,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,1.91529240845653,2.85708556348553,0.0607392495821208,0.0757774440738063,0.523329300505039,1.3503897560909,0.00390082052070446,0,0.00390082052070446,0.00415530221481925
1965,0.9,1.2555082818303,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,2.49936095854369,4.28325276365023,0.0221786812402231,0.0276698146400297,-0.708908509416508,-1.93691086642567,-0.00526106166074064,0,-0.00526106166074064,-0.0011057594459214
1966,-0.3,1.2639832668911,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,1.81263113036741,2.37401171186459,0.00809845207077134,0.0101035163111057,-1.45885495732991,-1.42725484744587,-0.0113742636201557,0,-0.0113742636201557,-0.0124800230660771
1967,2,1.27464215882116,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,0.361874625108272,0.956860380729823,0.00295711567483265,0.00368925643979916,1.76730525488969,3.3888439019605,0.0134239435878302,0,0.0134239435878302,0.000943920521753067
1968,0.5,1.28740959710871,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,2.1321369956728,4.34939353913013,0.00107977833762843,0.00134711645525221,-0.854675927476266,-2.51257791804231,-0.00630488929844416,0,-0.00630488929844416,-0.00536096877669109
1969,0.5,1.3023176400042,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,1.27854084653416,1.83816273754307,0.00039427651354139,0.000491893901555423,-0.312081316275727,-0.917457247477866,-0.0023022037803748,0,-0.0023022037803748,-0.00766317255706589
1970,1.1,1.31937166918596,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,0.966853806771973,0.921197383966761,0.00014396840880489,0.000179612987016862,0.486044821390977,0.624994349068585,0.00375755914573761,0,0.00375755914573761,-0.00390561341132827
1971,0.9,1.3385096566326,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,1.45304259657176,1.54637134602236,5.25694582911948e-05,6.55849259425806e-05,-0.0225227799774333,-0.171785944997695,-0.000143555434719876,0,-0.000143555434719876,-0.00404916884604815
1972,2.7,1.3596186658466,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,1.43057238605261,1.37465098595061,1.91955163495272e-05,2.39480595603589e-05,1.79177590172418,6.41727308549469,0.0129717464813112,0,0.0129717464813112,0.00892257763526307
1973,1.6,1.3825236750006,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,3.22236748329314,7.79194801950486,7.00916197165157e-06,8.74453311434098e-06,-0.44574057381915,-2.38675975297948,-0.00305784650465457,0,-0.00305784650465457,0.0058647311306085
1974,3.2,1.40702486542115,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,2.77663391863596,5.40519701105849,2.5593659816323e-06,3.19302944754577e-06,1.43723970627587,6.80848472573314,0.0100495786572602,0,0.0100495786572602,0.0159143097878687
1975,3,1.43294563844032,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,4.21387618427782,12.2136849298211,9.34541711895009e-07,1.16592125841161e-06,0.324802027199682,1.24608953024359,0.00233371654409348,0,0.00233371654409348,0.0182480263319622
1976,0.4,1.46013216818298,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,4.53867914601921,13.4597756259859,3.41243971178613e-07,4.25731238357654e-07,-2.48139990735808,-8.38499565473415,-0.0180718208876026,0,-0.0180718208876026,0.000176205444359617
1977,1.1,1.48843865544674,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,2.0572795799051,5.07478039698301,1.24603799256455e-07,1.55453969130354e-07,-0.206072728152603,-2.01174585801511,-0.00121930298643664,0,-0.00121930298643664,-0.00104309754207702
1978,0.1,1.51774107168566,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,1.85120697635629,3.06303469442187,4.54985526499351e-08,5.67633622836933e-08,-1.07524658900865,-1.93458052952946,-0.00819449221641955,0,-0.00819449221641955,-0.00923758975849657
1979,1.3,1.54793730707274,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,0.775960432846195,1.12845422165578,1.66136049269113e-08,2.07269027338118e-08,0.807378235386039,0.973596065259822,0.0062555761519014,0,0.0062555761519014,-0.00298201360659517
1980,0.8,1.57895717823809,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,1.58333868484584,2.1020503076425,6.06638788690975e-09,7.56834126191832e-09,-0.205189236842469,-0.694495496129917,-0.00149413309686431,0,-0.00149413309686431,-0.00447614670345948
1981,0.9,1.61074381003347,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,1.37814945406976,1.40755481908093,2.21511599417136e-09,2.76354794502967e-09,0.0250760141232739,-0.0835921062147932,0.000218650028039559,0,0.000218650028039559,-0.00425749667541992
1982,1.8,1.64324724049292,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,1.40322547040815,1.32396271562968,8.08840278449998e-10,1.00909789611442e-09,0.909156400973698,2.39947669438309,0.00676526898644284,0,0.00676526898644284,0.00250777231102292
1983,2,1.6764177234001,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,2.31238187219069,3.72343941102187,2.95344622026353e-10,3.68467847924966e-10,0.531974631781416,1.63615881187528,0.00390887858605302,0,0.00390887858605302,0.00641665089707595
1984,2.3,1.71019952243666,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,2.84435650426745,5.35959822326561,1.07843845174288e-10,1.34544483223322e-10,0.494248296897598,1.8874365010536,0.00355306286113653,0,0.00355306286113653,0.00996971375821248
1985,-0.6,1.7445316881644,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,3.33860480127289,7.24703472445376,3.93787259851916e-11,4.91283515448465e-11,-2.71952731543721,-4.24081050875623,-0.0208651807371189,0,-0.0208651807371189,-0.0108954669789064
1986,1.1,1.77935548823867,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,0.619077485875062,3.00622421574665,1.43789759880198e-11,1.79390107099958e-11,0.706976051430904,-0.698514101194609,0.00580959486912931,0,0.00580959486912931,-0.00508587210977711
1987,-0.2,1.81463475326682,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,1.32605353732035,2.30771011456998,5.25042253885509e-12,6.55035422793665e-12,-1.04185067156686,-1.42505948293369,-0.00803616392326469,0,-0.00803616392326469,-0.0131220360330418
1988,1.8,1.85035343743619,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,0.284202865758739,0.882650631642843,1.91716968297922e-12,2.3918342658405e-12,1.61957261402526,2.67964553006847,0.0123929591220753,0,0.0123929591220753,-0.000729076910966475
1989,3.6,1.88651937868844,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,1.90377547978591,3.5622961617137,7.00046437431322e-13,8.73368211271653e-13,2.39138012074542,10.6984612825653,0.0168560128766593,0,0.0168560128766593,0.0161269359656928
1990,2.9,1.92315073801265,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,4.29515560053204,14.2607574442799,2.55619009058573e-13,3.18906724999112e-13,0.173202382102382,-0.643501908908509,0.00152438725604314,0,0.00152438725604314,0.017651323221736
1991,2.3,1.96026240811936,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,4.46835798263468,13.6172555353717,9.33382048651553e-14,1.1644744786575e-13,-0.536755879449871,-3.35497201255114,-0.00357931616814606,0,-0.00357931616814606,0.0140720070535899
1992,2.7,1.99786898330864,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,3.9316021031849,10.2622835228207,3.40820525028067e-14,4.25202952822155e-14,0.204005850647873,0.774946095841389,0.00146744166159492,0,0.00146744166159492,0.0155394487151848
1993,1.7,2.03598910411161,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,4.13560795383281,11.0372296186621,1.24449179677518e-14,1.55261067891431e-14,-0.925508122609543,-4.11703169604057,-0.00652860997055712,0,-0.00652860997055712,0.00901083874462772
1994,1.7,2.07464492187236,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,3.21009983122328,6.92019792262157,4.54420939617171e-15,5.66929252085179e-15,-0.337945394087261,-1.50331678890641,-0.0023838944418133,0,-0.0023838944418133,0.00662694430281442
1995,2.3,2.11386709722499,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,2.87215443713602,5.41688113371516,1.65929892746298e-15,2.07011829323892e-15,0.47660066227968,1.85107020429759,0.00341955720705588,0,0.00341955720705588,0.0100465015098703
1996,1.5,2.15369400026595,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,3.3487550994157,7.26795133801276,6.05886016828205e-16,7.55894978472296e-16,-0.625971274911968,-2.36408950889516,-0.00450563948820589,0,-0.00450563948820589,0.00554086202166441
1997,2.2,2.19416687871462,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,2.72278382450373,4.90386182911761,2.21236727941017e-16,2.76011868667492e-16,0.471429224639363,1.72676266990669,0.00340475719461763,0,0.00340475719461763,0.00894561921628204
1998,1.3,2.23533006527172,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,3.1942130491431,6.6306244990243,8.07836596828507e-17,1.00784571686519e-16,-0.727859603591815,-2.51947988167687,-0.00528811062676026,0,-0.00528811062676026,0.00365750858952178
1999,2.3,2.27722522228967,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,2.46635344555128,4.11114461734743,2.94978131908302e-17,3.68010619944454e-17,0.73422513042621,2.68002252956193,0.00530471597255038,0,0.00530471597255038,0.00896222456207216
2000,3.4,2.31989006475628,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,3.20057857597749,6.79116714690935,1.077100228508e-17,1.34377528351412e-17,1.3680992148951,7.24859894234299,0.00940184597994719,0,0.00940184597994719,0.0183640705420193
2001,2,2.36334624583703,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,4.56867779087259,14.0397660892523,3.93298613272337e-18,4.90673886763378e-18,-0.900444332109603,-4.91320461667729,-0.00615755910938121,0,-0.00615755910938121,0.0122065114326381
2002,2.2,2.40758873095521,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,3.66823345876299,9.12656147257506,1.43611332639127e-18,1.79167503752461e-18,-0.128793456518156,-0.954035978563585,-0.000826958399883924,0,-0.000826958399883924,0.0113795530327542
2003,2.3,2.45259495784821,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,3.53944000224483,8.17252549401147,5.24390734327482e-19,6.54222596043069e-19,0.0529716116416501,0.101637779428631,0.000402343543831962,0,0.000402343543831962,0.0117818965765862
2004,2.4,2.49833715956515,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,3.59241161388648,8.27416327344011,1.91479068674553e-19,2.38886626318505e-19,0.119342360952166,0.507112607209018,0.000846937792872779,0,0.000846937792872779,0.0126288343694589
2005,3.1,2.54480227028764,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,3.71175397483865,8.78127588064912,6.99177756973437e-20,8.72284457598892e-20,0.74357736060659,4.03517003330739,0.00508957693117731,0,0.00508957693117731,0.0177184113006363
2006,2.9,2.59197718707759,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,4.45533133544524,12.8164459139565,2.55301814046985e-20,3.18510996908685e-20,0.0715141423675805,0.273425347440721,0.000514032438692962,0,0.000514032438692962,0.0182324437393292
2007,3,2.63982857095805,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,4.52684547781282,13.0898712613972,9.32223824422344e-21,1.16302949419757e-20,0.126113087972779,0.689840114351199,0.000862039444426462,0,0.000862039444426462,0.0190944831837557
2008,3.2,2.6882850403815,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,4.6529585657856,13.7797113757484,3.40397604327514e-21,4.2467532283077e-21,0.246049663069789,1.49189221315994,0.0016506148619961,0,0.0016506148619961,0.0207450980457518
2009,2.4,2.73720539297109,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,4.89900822885539,15.2716035889084,1.24294751964433e-21,1.5506840602168e-21,-0.710156001530591,-3.93524184002785,-0.00484338839969344,0,-0.00484338839969344,0.0159017096460583
2010,1,2.7863858567693,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,4.1888522273248,11.3363617488805,4.53857053325074e-22,5.66225755379879e-22,-1.65931047382276,-6.19693698841577,-0.0119583716195412,0,-0.0119583716195412,0.0039433380265171
2011,3.4,2.83557259107715,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,2.52954175350204,5.13942476046475,1.65723992041001e-22,2.06754950464049e-22,1.79410976706714,8.29721455109517,0.0125881072292378,0,0.0125881072292378,0.0165314452557549
2012,1.8,2.88445977139952,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,4.32365152056918,13.4366393115599,6.05134179072334e-23,7.54956996131551e-23,-0.944888372715987,-5.29030704237332,-0.00643267833111468,0,-0.00643267833111468,0.0100987669246402
2013,3.3,2.93273038974017,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,3.37876314785319,8.1463322691866,2.20962197550099e-23,2.75669368365176e-23,1.15497798918758,5.71826665849617,0.00802308533058807,0,0.00802308533058807,0.0181218522552283
2014,3.5,2.98013100575518,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,4.53374113704077,13.8645989276828,8.06834160665266e-24,1.00659509143237e-23,0.621735349677507,3.44800099339248,0.00423975953736442,0,0.00423975953736442,0.0223616117925927
2015,3.7,3.02655180576515,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,5.15547648671827,17.3125999210753,2.94612096564086e-24,3.67553959333462e-24,0.427024045096782,2.69902304481112,0.00284117333503488,0,0.00284117333503488,0.0252027851276276
2016,3.1,3.07205488642016,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,5.58250053181506,20.0116229658864,1.07576366586064e-24,1.34210780652094e-24,-0.444073967932261,-3.09446309951609,-0.00289304865069587,0,-0.00289304865069587,0.0223097364769317
2017,2.6,3.11689032968067,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,5.1384265638828,16.9171598663703,3.92810573049296e-25,4.90065014560286e-25,-0.662151739601831,-3.97993017144556,-0.00444949875091151,0,-0.00444949875091151,0.0178602377260202
2018,3.3,3.16146576909568,1.24758610939626,0.00800607964618813,-0.000214008984457487,0.634854210534211,4.47627482428096,12.9372296949247,1.43433126806594e-25,1.78945176631179e-25,0.458218080296944,2.6767452555288,0.00309568291239364,0,0.00309568291239364,0.0209559206384138
