model,region,year,area,lai,tas,pr,gpp,pct_growth_gpp
CNRM-ESM2-1,Afghanistan,1850,667312807936.0,211782509886.32867,10.227856008745462,0.40348164928592395,0.28538024784167265,
CNRM-ESM2-1,Afghanistan,1851,667312807936.0,214001434383.26373,9.727552667833839,0.2895434511069763,0.2899750248293221,0.015972304029663098
CNRM-ESM2-1,Afghanistan,1852,667312807936.0,221879583329.69757,10.49602476167556,0.5667150469434171,0.3094285441978161,0.06493239250858451
CNRM-ESM2-1,Afghanistan,1853,667312807936.0,187526599785.66135,10.335813521490765,0.03114984043502857,0.21275108634201284,-0.3746043168713826
CNRM-ESM2-1,Afghanistan,1854,667312807936.0,200138252583.27478,10.202225430031737,0.35226757162222455,0.2437867014256226,0.13617079486383954
CNRM-ESM2-1,Afghanistan,1855,667312807936.0,190121040322.27777,9.758301116594733,0.1324609533550484,0.2273808105821923,-0.06966747692108166
CNRM-ESM2-1,Afghanistan,1856,667312807936.0,196683892169.5763,10.229315281587178,0.01807062792794312,0.2302678232524094,0.012616888828286044
CNRM-ESM2-1,Afghanistan,1857,667312807936.0,204947115831.19965,10.242658887380511,0.2996992202664376,0.2639230964362919,0.13641467893023074
CNRM-ESM2-1,Afghanistan,1858,667312807936.0,184554628665.99884,10.160916296215934,0.12652821784035465,0.215458208866729,-0.20289079496698137
CNRM-ESM2-1,Afghanistan,1859,667312807936.0,250784088914.0054,8.905042860670909,0.7384386752627149,0.3587747034815245,0.5099276602167473
CNRM-ESM2-1,Afghanistan,1860,667312807936.0,209556848567.61032,10.220238037915387,0.30959205738689305,0.26909208593966283,-0.2876409766473176
CNRM-ESM2-1,Afghanistan,1861,667312807936.0,188998959443.98703,7.914090192351694,0.10834017783047384,0.2179142747228616,-0.2109518976989797
CNRM-ESM2-1,Afghanistan,1862,667312807936.0,192938807980.25024,9.056957095812548,0.2910493341986493,0.22614370950094773,0.0370689296964577
CNRM-ESM2-1,Afghanistan,1863,667312807936.0,189591041999.01013,9.993088758490327,0.23423383567758316,0.22202237289002683,-0.018392524353729067
CNRM-ESM2-1,Afghanistan,1864,667312807936.0,192457057904.9002,9.683669109438085,0.05614490925259913,0.230357488021654,0.03685424242372348
CNRM-ESM2-1,Afghanistan,1865,667312807936.0,185946608350.91568,10.554701863319647,0.031363955178715236,0.20657012900086733,-0.10899243550225557
CNRM-ESM2-1,Afghanistan,1866,667312807936.0,192449916279.1326,10.274657904281364,0.3914737406710962,0.23198103295651448,0.11601565132663483
CNRM-ESM2-1,Afghanistan,1867,667312807936.0,213310157601.70242,10.428492561482189,0.3253938409548603,0.285877855661325,0.208909027662322
CNRM-ESM2-1,Afghanistan,1868,667312807936.0,208482779720.38397,10.985500745756138,0.34461546418252775,0.27240372644958416,-0.04827938724242964
CNRM-ESM2-1,Afghanistan,1869,667312807936.0,204948661486.58237,9.622846359471097,0.326883787347837,0.2625722238782458,-0.0367590714745456
CNRM-ESM2-1,Afghanistan,1870,667312807936.0,186966568323.44415,11.156493270831378,0.10364817392775103,0.2122921384776313,-0.21256284499960287
CNRM-ESM2-1,Afghanistan,1871,667312807936.0,220140011345.80884,10.298556810575759,0.4460778852937796,0.29662315871665457,0.3344991695195645
CNRM-ESM2-1,Afghanistan,1872,667312807936.0,184113300329.65067,10.604452764802833,0.08401081438423824,0.19811077870457228,-0.4036361446455736
CNRM-ESM2-1,Afghanistan,1873,667312807936.0,206218511982.93466,10.222185608874257,0.29396562777170054,0.26260037481189924,0.2818070265326127
CNRM-ESM2-1,Afghanistan,1874,667312807936.0,186107620914.36353,11.205815278894843,-0.15942695972001023,0.20831590529119826,-0.23157768621199182
CNRM-ESM2-1,Afghanistan,1875,667312807936.0,207431769660.00687,9.513820275439942,0.5234886094170373,0.26289830564500166,0.23271158388330404
CNRM-ESM2-1,Afghanistan,1876,667312807936.0,195520791565.965,9.403010768713825,0.17047583175449704,0.21782845909571513,-0.18805941869947218
CNRM-ESM2-1,Afghanistan,1877,667312807936.0,201514189463.27118,11.46873489440263,0.09145732106456346,0.24661229901163248,0.12410959567344682
CNRM-ESM2-1,Afghanistan,1878,667312807936.0,213637016483.37628,9.951312312307047,0.32509318924311575,0.27342472350516717,0.10320888616936696
CNRM-ESM2-1,Afghanistan,1879,667312807936.0,191167199658.55573,10.711250337235414,0.044621376803978416,0.2274363506364892,-0.18415592816947246
CNRM-ESM2-1,Afghanistan,1880,667312807936.0,210731105973.80695,9.709404759777394,0.27412222391921937,0.26763092795957877,0.1627384750865326
CNRM-ESM2-1,Afghanistan,1881,667312807936.0,226373045480.28412,10.561649387670888,0.5383520133563541,0.31568361758051855,0.16513160494245493
