model,region,year,area,lai,tas,pr,gpp,pct_growth_gpp
ACCESS-ESM1-5,Afghanistan,1850,651317966848.0,97755044030.06064,12.654262021990379,-0.045934559306258844,0.21522509625574984,
ACCESS-ESM1-5,Afghanistan,1851,651317966848.0,96456108367.9566,11.752323710157269,0.20704681357600296,0.20423493371413032,-0.05241347270313357
ACCESS-ESM1-5,Afghanistan,1852,651317966848.0,97018940842.4609,11.709556041655539,0.17770851585939312,0.21236015425703972,0.03901270703534121
ACCESS-ESM1-5,Afghanistan,1853,651317966848.0,100571633354.21855,11.295965148113494,0.27786044146723965,0.22062859511710262,0.03819704859388384
ACCESS-ESM1-5,Afghanistan,1854,651317966848.0,102671958921.78662,12.209746563869379,0.20168866341789202,0.22088483188155544,0.001160720275091176
ACCESS-ESM1-5,Afghanistan,1855,651317966848.0,100423533268.71419,11.53918960515384,0.18823154040287046,0.2172059489110101,-0.01679546620047412
ACCESS-ESM1-5,Afghanistan,1856,651317966848.0,101725138731.50066,11.448243773020776,0.281679016894787,0.2138016582801518,-0.01579722199541167
ACCESS-ESM1-5,Afghanistan,1857,651317966848.0,101898699995.02791,11.790092949904023,0.30968449486231114,0.22140701389388742,0.03495394472792368
ACCESS-ESM1-5,Afghanistan,1858,651317966848.0,104919655464.2687,12.308544747192851,-0.013002632754300828,0.22928355934658712,0.034956788465965394
ACCESS-ESM1-5,Afghanistan,1859,651317966848.0,101558269253.0205,11.354149640733812,0.3860706900749672,0.2151407951927437,-0.06366681281510678
ACCESS-ESM1-5,Afghanistan,1860,651317966848.0,105632757568.50821,11.896084473551477,0.32939865748576147,0.22958361183461598,0.06497460970989133
ACCESS-ESM1-5,Afghanistan,1861,651317966848.0,96989924467.44302,11.660171672390442,-0.21521898387126942,0.20370344495032117,-0.11960204989946766
ACCESS-ESM1-5,Afghanistan,1862,651317966848.0,85756678746.19833,11.611335794386576,0.07386776230565373,0.18041840001520562,-0.12138663689452933
