,iso_id,year,pcGDP,growth_pcGDP,temp,precp,Pop
0,AFG,2001,277.118051443941,-0.10668899887805061,13.6,5.494706180553427,20284307.0
1,AFG,2002,338.139973643387,0.19901633906589922,13.4,5.784440377673656,21378117.0
2,AFG,2003,346.071627096223,0.02318583539914254,12.9,5.884992302597465,22733049.0
3,AFG,2004,338.637273888197,-0.021716222358431736,13.6,5.785976712282188,23560654.0
4,AFG,2005,363.640141436773,0.07123521019715007,13.0,5.9615206707349095,24404567.0
5,AFG,2006,367.75831169358,0.011261204503442812,13.4,5.8998973535824915,25424094.0
6,AFG,2007,410.757728879097,0.11057761254028087,13.2,5.810542011227735,25909852.0
7,AFG,2008,417.647282647498,0.016633681645049414,13.1,5.715052066914432,26482622.0
8,AFG,2009,488.830652491949,0.15737886068237117,13.3,6.008321664174405,27466101.0
9,AFG,2010,542.871030476037,0.10485566321583395,13.7,5.7439642642890325,28284089.0
10,AFG,2011,525.42698276582,-0.03266054623949355,13.1,5.811140992976701,29347708.0
11,AFG,2012,568.929021458341,0.07954445119305209,12.7,5.965377212344664,30560034.0
12,AFG,2013,580.603833333096,0.020312970192339463,13.6,5.949600343009283,31622704.0
13,AFG,2014,575.146245808546,-0.009444304938813097,12.8,5.763622475012218,32792523.0
14,AFG,2015,565.569730408751,-0.01679075350950665,13.4,6.052794802259588,33831764.0
15,AFG,2016,563.872336723147,-0.003005722936849864,13.9,5.9511632503344565,34700612.0
16,AFG,2017,562.769574140988,-0.001957610352848249,13.5,5.769258056615112,35688935.0
17,AFG,2018,553.125151688293,-0.01728597219479866,13.7,5.655642099328266,36743039.0
18,AFG,2019,557.861533207459,0.008526493212801967,13.4,6.015913227510292,37856121.0
19,AFG,2020,527.834554499306,-0.05532789236114333,12.8,6.014204034077471,39068979.0
20,AFG,2021,408.625855217403,-0.2559829328953249,14.0,5.49141399650995,40000412.0
21,AFG,2022,377.665627080705,-0.07879073825590055,14.1,5.7477993600729755,40578842.0
22,AGO,1981,2937.55129348153,-0.08142198320357785,21.5,6.7915584845796255,8435607.0
23,AGO,1982,2831.46994190715,-0.036780350020757524,21.5,6.881719264431296,8751648.0
24,AGO,1983,2842.76539929869,0.003981319643116876,21.9,6.8537213904896515,9082983.0
25,AGO,1984,2903.70027038757,0.02120856840838048,21.8,6.8737847594109835,9425917.0
