,iso_id,year,pcGDP,growth_pcGDP,temp,precp,Pop
4851,LAO,1995,1801.5440155534436,0.047415825615996,23.5,0.013701909181291327,4846000.0
4852,LAO,1996,1899.895867309289,0.053154994358952656,23.2,0.1304052662503068,4948000.0
4853,LAO,1997,2002.2359892027025,0.052465472679608105,23.6,-0.012115443649600266,5055000.0
4854,LAO,1998,2050.8838106292883,0.02400627670721356,24.4,-0.05814266249552347,5168000.0
4855,LAO,1999,2167.7796233975246,0.055432601308373464,23.5,0.15334486656824886,5286000.0
4856,LAO,2000,2262.235649025405,0.04265012086950204,23.5,0.02347319123999636,5397000.0
4857,LAO,2001,2365.1033363545753,0.044468165452358654,23.7,0.16184804258454477,5499000.0
4858,LAO,2002,2486.9891913870906,0.05025110375903985,23.8,0.18494481373593175,5578000.0
4859,LAO,2003,2625.348218633138,0.0541407231958857,23.8,-0.1065120446382446,5654000.0
4860,LAO,2004,2784.680091441686,0.0589194563951585,23.5,-0.028715408450489477,5746000.0
4861,LAO,2005,2948.699618236258,0.05723126743178408,23.9,0.07463895358494899,5836000.0
4862,LAO,2006,2896.1354787623054,-0.017987011020223598,23.9,0.06581581435309314,5931000.0
4863,LAO,2007,3389.364066917482,0.15726505814535763,23.6,0.04819172298851537,6035000.0
4864,LAO,2008,3614.4768268870844,0.06430480936936256,23.1,0.19600558024716186,6145000.0
4865,LAO,2009,3843.8297499386563,0.061522078024422555,23.8,-0.07976418136975205,6257000.0
4866,LAO,2010,4114.010276081498,0.06792908875082837,24.2,-0.00536589131589249,6368000.0
4867,LAO,2011,4401.0,0.06743349876914984,23.1,0.2049530903617276,6477000.0
4868,LAO,2012,4670.0,0.05932728385185193,24.1,0.09710283434736855,6586000.0
4869,LAO,2013,4961.0,0.060448261638105905,23.7,0.18358753171061615,6695000.0
4870,LAO,2014,5251.0,0.05681120133681006,23.9,-0.1489716898369533,6804000.0
4871,LAO,2015,5559.0,0.05699970131561116,24.3,-0.11276415156181319,6912000.0
4872,LAO,2016,5859.663318233265,0.05267391174062652,24.2,0.08553455003718557,7019000.0
4873,LAO,2017,6168.17039874989,0.05131011442393785,23.8,0.1531115215666068,7126706.0
4874,LAO,2018,6454.777867001544,0.04541834902241071,23.8,0.057684648839575026,7234171.0
4875,LAO,2019,6706.006344744449,0.038182983014785066,24.5,-0.20928068497400165,7343164.054057519
4876,LAO,2020,6824.144154116059,0.017463340370547087,24.3,-0.12193965023875997,7452461.543766325
4877,LAO,2021,6961.121418225251,0.01987365013194875,24.0,-0.01178513811397952,7560040.346587603
4878,LAO,2022,7168.190637426723,0.02931268626653072,23.7,0.11936285724944984,7666356.606908566
4879,LBN,1961,6027.0,0.03632462879287068,15.9,-0.013764300349843772,1835620.0
4880,LBN,1962,6089.0,0.010234490125530016,17.2,-0.22517058755375707,1886848.0
4881,LBN,1963,5973.0,-0.01923455087626813,16.4,0.13048325350523982,1940191.0
4882,LBN,1964,6156.0,0.03017790222646255,15.5,0.03448153547779409,1996143.0
4883,LBN,1965,6572.0,0.06539098419838929,16.0,0.08700079021780116,2057945.0000000002
4884,LBN,1966,6811.0,0.03572075208415981,16.9,-0.0995372870883271,2121579.0
4885,LBN,1967,6295.0,-0.07878328476287066,14.8,0.3219995955298698,2186894.0
4886,LBN,1968,6876.0,0.08828142002429296,15.9,0.26291153494654296,2253719.0
4887,LBN,1969,6824.0,-0.0075912773312261095,16.3,0.2852126863062505,2320495.0
4888,LBN,1970,7084.0,0.03739290973121001,16.4,-0.04864911525588855,2383029.0
4889,LBN,1971,7533.0,0.06145464892296992,15.7,0.17420925139932297,2529477.0
4890,LBN,1972,8228.0,0.0882496029471529,15.1,-0.3933386543536912,2680396.0
4891,LBN,1973,8397.0,0.020331527410716532,15.7,-0.31015831340364564,2825848.0
4892,LBN,1974,8383.0,-0.0016686535457068885,15.7,0.026313923217567314,2988248.0
4893,LBN,1975,5742.0,-0.37839826395684817,15.5,-0.061996999114148466,3098996.0
4894,LBN,1976,2442.0,-0.8549902060103589,15.2,0.05666862788754923,3119581.0
4895,LBN,1977,4417.0,0.5926433569258771,15.8,0.12066163903999083,3116929.0
4896,LBN,1978,4218.0,-0.046099650557806626,16.1,0.030142563447901338,3110678.0
4897,LBN,1979,4536.0,0.07268448436886743,16.6,-0.012938536471376771,3100870.0
4898,LBN,1980,4608.0,0.01574835696813892,15.8,0.11752721814950107,3087467.0
4899,LBN,1981,4549.0,-0.012886494805723459,16.1,0.1176479546422522,3083231.0
4900,LBN,1982,2823.0,-0.4771072793165141,15.1,-0.12352507761708331,3088741.0
4901,LBN,1983,3402.0,0.18656334470231695,15.3,-0.013076116439949992,3091782.0
4902,LBN,1984,4828.0,0.3500688092616162,15.7,-0.05824735526313063,3092361.0
4903,LBN,1985,5895.0,0.19967223075404839,16.1,-0.27432652706465177,3090440.0
4904,LBN,1986,5400.0,-0.08770558041910448,16.1,-0.04338781623697141,3089133.0
4905,LBN,1987,6202.0,0.1384728671080282,16.0,0.0879961865921377,3091699.0
4906,LBN,1988,4385.0,-0.346682194854111,15.7,0.21675935826198867,3098338.0
4907,LBN,1989,2488.0,-0.5667104509472134,16.0,-0.6132674148742829,3109210.0
4908,LBN,1990,3086.0,0.21539657906403686,16.1,-0.5405036614391312,3149674.0
4909,LBN,1991,4326.299404533239,0.3378367816742127,16.1,0.2125958812276183,3211110.0
4910,LBN,1992,4618.005428583986,0.0652503508434954,14.8,0.16111765422436264,3250740.0
4911,LBN,1993,5053.280309316094,0.09007471215298679,15.8,-0.3817338822634362,3286190.0
4912,LBN,1994,5585.666968395444,0.10016624815721187,16.7,0.26312032500889426,3319740.0
4913,LBN,1995,6095.39700691427,0.08733005053433551,16.1,-0.42212496373858954,3351310.0
4914,LBN,1996,6567.400634391225,0.0745842152613303,16.6,-0.044949096803923894,3381010.0
4915,LBN,1997,6581.053121520845,0.0020766688295807967,15.6,-0.11709221732671438,3408980.0
4916,LBN,1998,6994.156938647532,0.06088029603556322,17.1,-0.14857500664954149,3435410.0
4917,LBN,1999,7147.55479752894,0.021695234425969545,17.0,-0.6353243364493553,3460180.0
4918,LBN,2000,7405.707026321809,0.03548061089052901,16.4,-0.0395658850506031,3499460.0
4919,LBN,2001,7836.826603495309,0.05658305971232558,17.0,-0.03829514714575577,3554350.0
4920,LBN,2002,8248.10023107528,0.05114891634953622,16.6,0.02921975012026845,3609520.0
4921,LBN,2003,8671.187789419218,0.050022882533783175,16.6,0.2740210298850849,3664840.0
4922,LBN,2004,9491.610652176805,0.09040253786710117,16.5,-0.017488699440826316,3720550.0
4923,LBN,2005,9933.081890460695,0.045462472273067434,16.5,-0.13838603222656776,3776510.0
4924,LBN,2006,10236.86827626687,0.030124948957285014,16.4,-0.1750771962967388,3852950.0
4925,LBN,2007,11276.506686752524,0.09672576677576927,16.6,-0.19666429784909756,3954210.0
4926,LBN,2008,12479.10771337445,0.10133435584440775,16.8,-0.4935915990502915,4035670.0
4927,LBN,2009,14039.34617129224,0.11780796545755656,16.7,-0.02233736170714451,4081720.0
4928,LBN,2010,15622.367105111432,0.10683984763397092,18.3,-0.34080845167652374,4097090.0
4929,LBN,2011,16230.0,0.038157705375510886,16.2,0.07270766825440056,4114729.9999999995
4930,LBN,2012,16284.7630230297,0.003368505240104014,17.1,0.22068777885315605,4206040.0
4931,LBN,2013,15145.569358256791,-0.0725218491837456,16.9,-0.11541423661113459,4695520.0
4932,LBN,2014,13586.273768366233,-0.10864803624640196,17.3,-0.2311417730854215,5364500.0
4933,LBN,2015,12982.721189076505,-0.04544066726584006,17.0,-0.030004507372656697,5639770.0
4934,LBN,2016,13073.556155530463,0.006972241907465815,17.3,-0.07289272686588077,5687730.0
4935,LBN,2017,13209.283911936904,0.010328333057843864,17.1,-0.5254623041615192,5680120.0
4936,LBN,2018,13236.691613816594,0.0020727321376714514,17.8,0.10035575561796595,5561510.0
4937,LBN,2019,12854.796577078958,-0.0292756250011017,17.2,0.18318199602132523,5330730.0
4938,LBN,2020,10182.636876101324,-0.23303301343404215,17.4,0.10660080132327732,4986190.0
4939,LBN,2021,10573.861131356725,0.037701021960074854,17.6,-0.0842039014474043,4801710.0
4940,LBN,2022,10341.159377973654,-0.022253036374474178,17.0,-0.08376080270298569,4713370.0
4941,LBR,1961,3663.0,-0.002998502996256036,25.1,-0.03251882026330488,1083000.0
4942,LBR,1962,3612.0,-0.014020848241939277,25.1,0.1270877652805984,1113000.0
4943,LBR,1963,3598.0,-0.0038835000263972574,25.3,0.2304175377570825,1144000.0
4944,LBR,1964,3679.0,0.022262840594295952,24.9,-0.008092228467429408,1176000.0
4945,LBR,1965,3639.0,-0.010932057492613723,24.8,0.02831961010578965,1209000.0
4946,LBR,1966,4208.0,0.14527855680538515,25.3,0.20707503535745175,1244000.0
4947,LBR,1967,4065.0,-0.034573732435633886,24.9,-0.11932271641535053,1280000.0
4948,LBR,1968,4136.0,0.017315394206352863,25.2,0.21674110419554715,1318000.0
4949,LBR,1969,4309.0,0.04097672142757425,25.5,0.04324231408973933,1357000.0
4950,LBR,1970,4457.0,0.03377003533071665,25.4,-0.07977579567059578,1397000.0
4951,LBR,1971,4544.0,0.019331787454431648,24.6,-0.053836670507165785,1440000.0
4952,LBR,1972,4568.0,0.005267790934858851,24.9,-0.008504803768273561,1484000.0
4953,LBR,1973,4603.0,0.007632792481395256,25.3,-0.03802894313515548,1529000.0
4954,LBR,1974,4616.0,0.002820264370694048,24.8,-0.08863348605871657,1577000.0
4955,LBR,1975,4326.0,-0.06488520167493128,24.7,-0.11243120701257592,1618000.0
4956,LBR,1976,4415.0,0.02036450652505728,24.4,-0.04019892590347851,1661000.0
4957,LBR,1977,4339.0,-0.017363927239710364,25.0,-0.04186150755043894,1706000.0
4958,LBR,1978,4463.0,0.028177278830918695,24.8,-0.06120430373047281,1754000.0
