# Input data: Maddison_CRU_dataset.csv
iteration,approach,approach_name,h1,h2,T_opt,r_squared,total_r_squared,f1,h4,h3,f2
0,approach0,0: Conjoined OLS Fit,0.009196592935074495,-0.0003230747131076036,14.232919758117172,0.2337452468883412,0.2337452468883412,,,,
1,approach0,0: Conjoined OLS Fit,0.011025455232879778,-0.00038617529977831046,14.275194761561783,0.2067280933013942,0.2067280933013942,,,,
2,approach0,0: Conjoined OLS Fit,0.01896977483749999,-0.0005159010967374719,18.38508868992887,0.2020327412877405,0.2020327412877405,,,,
3,approach0,0: Conjoined OLS Fit,0.017097192517917473,-0.0004091318450718146,20.894477811812006,0.1966417218815777,0.1966417218815777,,,,
4,approach0,0: Conjoined OLS Fit,0.01709332919155252,-0.0005007619259690131,17.06732112118509,0.1897683390945406,0.1897683390945406,,,,
5,approach0,0: Conjoined OLS Fit,0.014620297252103153,-0.0004381710125353649,16.683323216096074,0.2014698789024778,0.2014698789024778,,,,
6,approach0,0: Conjoined OLS Fit,0.015253276673678644,-0.0004994296856800174,15.270694865594509,0.18322091454398215,0.18322091454398215,,,,
7,approach0,0: Conjoined OLS Fit,0.013523995932985686,-0.0004640724238865186,14.570997151398032,0.1840033006244478,0.1840033006244478,,,,
8,approach0,0: Conjoined OLS Fit,0.010673705742627935,-0.0002503133139607841,21.32069120442422,0.20573137655965357,0.20573137655965357,,,,
9,approach0,0: Conjoined OLS Fit,0.017978253353516754,-0.0004013677536946669,22.39623535775295,0.19114875587983504,0.19114875587983504,,,,
0,approach1,1: Combined Detrending (Mixed),0.00891414694783684,-0.00029823674169053213,14.944749760387806,0.1178225540649962,0.2318497249253585,,,,
1,approach1,1: Combined Detrending (Mixed),0.01080318116534945,-0.000360361118040237,14.989382350821758,0.10211628002610806,0.20407754531134448,,,,
2,approach1,1: Combined Detrending (Mixed),0.018363799674301313,-0.000485132728737003,18.92657265374542,0.09953218588751434,0.19980847582323968,,,,
3,approach1,1: Combined Detrending (Mixed),0.0168804373082448,-0.0003885491482522901,21.722396489831073,0.10663141684396271,0.19323932729260462,,,,
4,approach1,1: Combined Detrending (Mixed),0.01650420092992656,-0.000468563120861663,17.611502266307472,0.09491343943625952,0.18776814738777037,,,,
5,approach1,1: Combined Detrending (Mixed),0.014052061025327042,-0.0004022399679164941,17.467261020968806,0.1092692508997063,0.1989578027572615,,,,
6,approach1,1: Combined Detrending (Mixed),0.015028955479198695,-0.00047118850920434984,15.947922313063861,0.09929694875353245,0.1801396393766267,,,,
7,approach1,1: Combined Detrending (Mixed),0.01315851260834869,-0.0004344991758587092,15.142160606338626,0.08797812130347993,0.18194758196073701,,,,
8,approach1,1: Combined Detrending (Mixed),0.01062137954319226,-0.000238598966955354,22.257807061628444,0.10189362831139359,0.20340717243458906,,,,
9,approach1,1: Combined Detrending (Mixed),0.017745495372719373,-0.000386008834787915,22.985866868136956,0.11059023005245594,0.1884659094643618,,,,
0,approach2,2: Linear Temperature Detrending,0.009688196031351648,-0.00031972559597904317,15.150798298905467,0.11181267199566935,0.11181267199566935,,,,
1,approach2,2: Linear Temperature Detrending,0.011424842462944368,-0.00037546660227457697,15.214192678833035,0.095755638375698,0.095755638375698,,,,
2,approach2,2: Linear Temperature Detrending,0.020094026321430435,-0.0005360335711226659,18.743253598226705,0.0932802946040382,0.0932802946040382,,,,
3,approach2,2: Linear Temperature Detrending,0.018854978253322188,-0.00041002743038421306,22.992337653671456,0.1018063598151524,0.1018063598151524,,,,
4,approach2,2: Linear Temperature Detrending,0.01808476455483962,-0.0005261034286462428,17.187461219721488,0.09358348735392441,0.09358348735392441,,,,
5,approach2,2: Linear Temperature Detrending,0.016448223100293174,-0.0004655806817522635,17.66420273108036,0.10511282001266109,0.10511282001266109,,,,
6,approach2,2: Linear Temperature Detrending,0.017006945918643854,-0.0005133369185090742,16.565091371217267,0.09668580025884277,0.09668580025884277,,,,
7,approach2,2: Linear Temperature Detrending,0.014894570899341793,-0.00048468704959433095,15.365142220952796,0.08592235412885552,0.08592235412885552,,,,
8,approach2,2: Linear Temperature Detrending,0.010962638322740938,-0.0002217531215875255,24.718115001628078,0.09794251722718272,0.09794251722718272,,,,
9,approach2,2: Linear Temperature Detrending,0.019092968043316984,-0.00043597747814879713,21.896736643814247,0.10970660245807895,0.10970660245807895,,,,
