# Input data: Maddison_CRU_dataset.csv
iteration,approach,approach_name,C_Delta_u,C_epsilon,C_j,C_k,C_v,Sigma_Delta_u_Delta_u,Sigma_Delta_u_epsilon,Sigma_Delta_u_j,Sigma_Delta_u_k,Sigma_Delta_u_v,Sigma_epsilon_epsilon,Sigma_h_epsilon,Sigma_h_h,Sigma_h_j,Sigma_h_k,Sigma_j_epsilon,Sigma_j_j,Sigma_j_k,Sigma_k_epsilon,Sigma_k_k,Sigma_v_epsilon,Sigma_v_j,Sigma_v_k,Sigma_v_v,cov_epsilon_Delta_u,cov_epsilon_j,cov_epsilon_k,cov_epsilon_v,s_Delta_u,s_epsilon,s_j,s_k,s_v,sum_check,var_dy
-1,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0032007026161298613,0.0004182676627583306,0.0002897018783764383,2.5293944999708958e-05,0.0,0.0,0.0,0.0,0.0,0.0032007026161299276,-1.1406431394969445e-17,0.0003425868545118585,-0.0003077121715559472,-9.580737956190917e-06,4.8782902320862066e-17,0.0008911316422687697,-0.00016515180795454075,-1.0357748085360436e-16,0.0004644344242872736,-1.1406431394969445e-17,-0.0003077121715559472,-9.580737956190917e-06,0.0003425868545118585,0.0,4.8782902320862066e-17,-1.0357748085360436e-16,-1.1406431394969445e-17,0.0,0.8136070654720635,0.106322131885575,0.07364117301612988,0.0064296296262314236,0.003933966102264339,0.00393396610226434
0,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0034364986575596787,0.00015196627246785282,0.00024922933207000594,9.627184016680103e-05,0.0,0.0,0.0,0.0,0.0,0.004031627179015393,-0.0005292153615959724,0.001625025515346467,-0.000995446476289623,-4.091837294070573e-06,-3.555739284093552e-05,0.0011822873166295548,6.828249688565953e-07,-3.0355767018806488e-05,0.0002829941114140264,-0.0005292153615959724,-0.000995446476289623,-4.091837294070573e-06,0.001625025515346467,0.0,-3.555739284093552e-05,-3.0355767018806488e-05,-0.0005292153615959724,0.0,0.8735455690840027,0.03862927857471446,0.0633531976614015,0.024471954679881,0.003933966102264338,0.00393396610226434
1,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0035451443381952176,0.00020429142991995632,0.00014204559564929599,4.248473849986892e-05,0.0,0.0,0.0,0.0,0.0,0.0038542022698261256,-0.00022396152082809653,0.000601182048251177,-0.0003341339727133872,-6.01816209824427e-07,-5.14085919495092e-05,0.0005954223987839529,-5.588404201100175e-06,-3.3687818853302525e-05,0.0001819236349135231,-0.00022396152082809653,-0.0003341339727133872,-6.01816209824427e-07,0.000601182048251177,0.0,-5.14085919495092e-05,-3.3687818853302525e-05,-0.00022396152082809653,0.0,0.9011629093994171,0.05193014495024978,0.036107478294623935,0.01079946735570885,0.003933966102264339,0.00393396610226434
2,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.00353021288197732,0.00016635206852619148,0.00011798788882031645,0.00011941326294051091,0.0,0.0,0.0,0.0,0.0,0.006924822105852693,-0.00047713780453259764,0.0018166469417131123,-0.001199950592960485,-2.014528127951879e-05,-0.00214108214947467,0.0036165110060805234,-0.00010912619511917707,-0.0007763892698681051,0.0010236486350871175,-0.00047713780453259764,-0.001199950592960485,-2.014528127951879e-05,0.0018166469417131123,0.0,-0.00214108214947467,-0.0007763892698681051,-0.00047713780453259764,0.0,0.8973673870614634,0.0422860960673864,0.02999209595436121,0.03035442091678883,0.003933966102264339,0.00393396610226434
3,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0034119236722485184,0.00012388565588651048,0.00019526979306200862,0.00020288698106729706,0.0,0.0,0.0,0.0,0.0,0.006740367198426368,-0.0016813742518643367,0.004501874947979863,-0.0026124291885002964,-5.184526547933179e-06,-0.001025459590221622,0.004234913719301038,-0.0004731392846926089,-0.0006216096840918908,0.0012952032883944416,-0.0016813742518643367,-0.0026124291885002964,-5.184526547933179e-06,0.004501874947979863,0.0,-0.001025459590221622,-0.0006216096840918908,-0.0016813742518643367,0.0,0.8672986964185226,0.03149128707926677,0.049636877386821876,0.05157313911538738,0.003933966102264335,0.00393396610226434
4,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0033600231612698705,0.0002641213891748243,0.000288973229488483,2.0848322331162047e-05,0.0,0.0,0.0,0.0,0.0,0.004865905183574044,-0.00017042512700103714,0.00021381332125278298,-2.484775352023365e-05,2.3078815996498566e-06,-0.0006468870392412017,0.001040849538085102,-0.00010499335614884245,-0.0006885698560619349,0.0010802285600996105,-0.00017042512700103714,-2.484775352023365e-05,2.3078815996498566e-06,0.00021381332125278298,0.0,-0.0006468870392412017,-0.0006885698560619349,-0.00017042512700103714,0.0,0.8541057736455545,0.06713870488685691,0.073455953095822,0.0052995683717666055,0.00393396610226434,0.00393396610226434
5,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.003457297875554601,0.000146851209890725,0.00020220617703078174,0.00012761083978823126,0.0,0.0,0.0,0.0,0.0,0.0044702024916566255,-0.0008074296611438111,0.0022174276906584806,-0.0012783606749948969,-4.0265147315413986e-06,-0.00014528232634428617,0.0016348707841867182,-6.437657295681018e-05,-6.0192628613927685e-05,0.000330801893333061,-0.0008074296611438111,-0.0012783606749948969,-4.0265147315413986e-06,0.0022174276906584806,0.0,-0.00014528232634428617,-6.0192628613927685e-05,-0.0008074296611438111,0.0,0.8788326553105338,0.037329048109031586,0.05140008118381968,0.03243821539661466,0.003933966102264339,0.00393396610226434
6,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0033181364069518812,0.00030731462243472837,0.0003463812676765838,-3.786619479886194e-05,0.0,0.0,0.0,0.0,0.0,0.0059111194053899,-3.8110100643324464e-05,0.0007035629214055511,-0.0006970743692744325,-6.244646286655996e-06,-0.00024060334751187704,0.0014641029737651047,-0.00021911063454406677,-0.002314269550282817,0.0028860060987901236,-3.8110100643324464e-05,-0.0006970743692744325,-6.244646286655996e-06,0.0007035629214055511,0.0,-0.00024060334751187704,-0.002314269550282817,-3.8110100643324464e-05,0.0,0.8434583117129568,0.07811826905621837,0.08804886942905055,-0.009625450198227853,0.003933966102264331,0.00393396610226434
7,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.003635215156010117,7.195067883421951e-05,0.00013264205224799527,9.415821517200782e-05,0.0,0.0,0.0,0.0,0.0,0.004972413321736967,-0.00036586142355902416,0.0009447461983021004,-0.0004725247329284889,-1.2201826642579565e-05,-0.000828512915476059,0.0016043796211610405,-0.00023139129392227308,-0.00014282382669176676,0.0005190589995046147,-0.00036586142355902416,-0.0004725247329284889,-1.2201826642579565e-05,0.0009447461983021004,0.0,-0.000828512915476059,-0.00014282382669176676,-0.00036586142355902416,0.0,0.9240585865540972,0.0182896031546397,0.03371713146476992,0.023934678826493083,0.00393396610226434,0.00393396610226434
8,Approach QJ,Approach QJ: Quadratic (Joint OLS),0.0,0.0033409788549825024,0.00020281379635425753,0.0003018679881823586,8.830546274522224e-05,0.0,0.0,0.0,0.0,0.0,0.0056256103508920755,-0.00035944528461699177,0.0011525319503617743,-0.0006881057404249462,-1.6675462574614116e-05,-0.0012972716582514922,0.002200708260155793,-1.2517065125097263e-05,-0.0006279145530410891,0.000958975068923159,-0.00035944528461699177,-0.0006881057404249462,-1.6675462574614116e-05,0.0011525319503617743,0.0,-0.0012972716582514922,-0.0006279145530410891,-0.00035944528461699177,0.0,0.8492647796480702,0.051554535825186834,0.07673375426611004,0.022446930260633095,0.003933966102264341,0.00393396610226434
